Episodio: 0, Epsilon: 1.000, Reward: 0.000
Episodio: 200, Epsilon: 0.990, Reward: 0.000
Episodio: 400, Epsilon: 0.980, Reward: 0.000
Episodio: 600, Epsilon: 0.970, Reward: 0.000
Episodio: 800, Epsilon: 0.961, Reward: 0.000
Episodio: 1000, Epsilon: 0.951, Reward: 0.000
Episodio: 1200, Epsilon: 0.942, Reward: 0.000
Episodio: 1400, Epsilon: 0.932, Reward: 0.000
Episodio: 1600, Epsilon: 0.923, Reward: 0.507
Episodio: 1800, Epsilon: 0.914, Reward: 0.557
Episodio: 2000, Epsilon: 0.905, Reward: 0.332
Episodio: 2200, Epsilon: 0.896, Reward: 0.595
Episodio: 2400, Epsilon: 0.887, Reward: 0.000
Episodio: 2600, Epsilon: 0.878, Reward: 0.412
Episodio: 2800, Epsilon: 0.869, Reward: 0.350
Episodio: 3000, Epsilon: 0.861, Reward: 0.382
Episodio: 3200, Epsilon: 0.852, Reward: 0.360
Episodio: 3400, Epsilon: 0.844, Reward: 0.615
Episodio: 3600, Epsilon: 0.835, Reward: 0.875
Episodio: 3800, Epsilon: 0.827, Reward: 0.905
Episodio: 4000, Epsilon: 0.819, Reward: 0.000
Episodio: 4200, Epsilon: 0.811, Reward: 0.823
Episodio: 4400, Epsilon: 0.802, Reward: 0.412
Episodio: 4600, Epsilon: 0.794, Reward: 0.853
Episodio: 4800, Epsilon: 0.787, Reward: 0.802
Episodio: 5000, Epsilon: 0.779, Reward: 0.680
Episodio: 5200, Epsilon: 0.771, Reward: 0.838
Episodio: 5400, Epsilon: 0.763, Reward: 0.725
Episodio: 5600, Epsilon: 0.756, Reward: 0.505
Episodio: 5800, Epsilon: 0.748, Reward: 0.760
Episodio: 6000, Epsilon: 0.741, Reward: 0.855
Episodio: 6200, Epsilon: 0.733, Reward: 0.615
Episodio: 6400, Epsilon: 0.726, Reward: 0.870
Episodio: 6600, Epsilon: 0.719, Reward: 0.850
Episodio: 6800, Epsilon: 0.712, Reward: 0.932
Episodio: 7000, Epsilon: 0.705, Reward: 0.853
Episodio: 7200, Epsilon: 0.698, Reward: 0.927
Episodio: 7400, Epsilon: 0.691, Reward: 0.915
Episodio: 7600, Epsilon: 0.684, Reward: 0.900
Episodio: 7800, Epsilon: 0.677, Reward: 0.882
Episodio: 8000, Epsilon: 0.670, Reward: 0.885
Episodio: 8200, Epsilon: 0.664, Reward: 0.912
Episodio: 8400, Epsilon: 0.657, Reward: 0.860
Episodio: 8600, Epsilon: 0.650, Reward: 0.850
Episodio: 8800, Epsilon: 0.644, Reward: 0.880
Episodio: 9000, Epsilon: 0.638, Reward: 0.907
Episodio: 9200, Epsilon: 0.631, Reward: 0.815
Episodio: 9400, Epsilon: 0.625, Reward: 0.870
Episodio: 9600, Epsilon: 0.619, Reward: 0.825
Episodio: 9800, Epsilon: 0.613, Reward: 0.935
Episodio: 10000, Epsilon: 0.606, Reward: 0.953
Episodio: 10200, Epsilon: 0.600, Reward: 0.873
Episodio: 10400, Epsilon: 0.594, Reward: 0.885
Episodio: 10600, Epsilon: 0.589, Reward: 0.955
Episodio: 10800, Epsilon: 0.583, Reward: 0.897
Episodio: 11000, Epsilon: 0.577, Reward: 0.922
Episodio: 11200, Epsilon: 0.571, Reward: 0.938
Episodio: 11400, Epsilon: 0.565, Reward: 0.950
Episodio: 11600, Epsilon: 0.560, Reward: 0.910
Episodio: 11800, Epsilon: 0.554, Reward: 0.953
Episodio: 12000, Epsilon: 0.549, Reward: 0.902
Episodio: 12200, Epsilon: 0.543, Reward: 0.887
Episodio: 12400, Epsilon: 0.538, Reward: 0.940
Episodio: 12600, Epsilon: 0.533, Reward: 0.885
Episodio: 12800, Epsilon: 0.527, Reward: 0.915
Episodio: 13000, Epsilon: 0.522, Reward: 0.958
Episodio: 13200, Epsilon: 0.517, Reward: 0.930
Episodio: 13400, Epsilon: 0.512, Reward: 0.905
Episodio: 13600, Epsilon: 0.507, Reward: 0.958
Episodio: 13800, Epsilon: 0.502, Reward: 0.953
Episodio: 14000, Epsilon: 0.497, Reward: 0.922
Episodio: 14200, Epsilon: 0.492, Reward: 0.932
Episodio: 14400, Epsilon: 0.487, Reward: 0.948
Episodio: 14600, Epsilon: 0.482, Reward: 0.892
Episodio: 14800, Epsilon: 0.477, Reward: 0.953
