[Ep     0/15000] reward=0.532 | eps=1.000 | success_rate=1.00 | q_states=25
[Ep   200/15000] reward=0.000 | eps=0.980 | success_rate=0.03 | q_states=1651
[Ep   400/15000] reward=0.000 | eps=0.961 | success_rate=0.04 | q_states=2198
[Ep   600/15000] reward=0.000 | eps=0.942 | success_rate=0.06 | q_states=2540
[Ep   800/15000] reward=0.000 | eps=0.923 | success_rate=0.02 | q_states=2736
[Ep  1000/15000] reward=0.000 | eps=0.905 | success_rate=0.06 | q_states=2896
[Ep  1200/15000] reward=0.000 | eps=0.887 | success_rate=0.13 | q_states=3201
[Ep  1400/15000] reward=0.000 | eps=0.869 | success_rate=0.24 | q_states=3490
[Ep  1600/15000] reward=0.000 | eps=0.852 | success_rate=0.24 | q_states=3684
[Ep  1800/15000] reward=0.583 | eps=0.835 | success_rate=0.41 | q_states=3943
[Ep  2000/15000] reward=0.000 | eps=0.819 | success_rate=0.46 | q_states=4137
[Ep  2200/15000] reward=0.760 | eps=0.802 | success_rate=0.49 | q_states=4258
[Ep  2400/15000] reward=0.897 | eps=0.787 | success_rate=0.53 | q_states=4364
[Ep  2600/15000] reward=0.762 | eps=0.771 | success_rate=0.52 | q_states=4447
[Ep  2800/15000] reward=0.000 | eps=0.756 | success_rate=0.64 | q_states=4485
[Ep  3000/15000] reward=0.807 | eps=0.741 | success_rate=0.64 | q_states=4666
[Ep  3200/15000] reward=0.905 | eps=0.726 | success_rate=0.88 | q_states=4745
[Ep  3400/15000] reward=0.925 | eps=0.712 | success_rate=0.75 | q_states=4810
[Ep  3600/15000] reward=0.922 | eps=0.698 | success_rate=0.80 | q_states=4888
[Ep  3800/15000] reward=0.890 | eps=0.684 | success_rate=0.77 | q_states=4921
[Ep  4000/15000] reward=0.902 | eps=0.670 | success_rate=0.89 | q_states=4932
[Ep  4200/15000] reward=0.000 | eps=0.657 | success_rate=0.83 | q_states=4950
[Ep  4400/15000] reward=0.828 | eps=0.644 | success_rate=0.84 | q_states=4976
[Ep  4600/15000] reward=0.930 | eps=0.631 | success_rate=0.87 | q_states=5004
[Ep  4800/15000] reward=0.843 | eps=0.619 | success_rate=0.82 | q_states=5018
[Ep  5000/15000] reward=0.930 | eps=0.606 | success_rate=0.85 | q_states=5026
[Ep  5200/15000] reward=0.943 | eps=0.594 | success_rate=0.86 | q_states=5036
[Ep  5400/15000] reward=0.927 | eps=0.583 | success_rate=0.87 | q_states=5060
[Ep  5600/15000] reward=0.915 | eps=0.571 | success_rate=0.96 | q_states=5081
[Ep  5800/15000] reward=0.943 | eps=0.560 | success_rate=0.99 | q_states=5089
[Ep  6000/15000] reward=0.948 | eps=0.549 | success_rate=0.99 | q_states=5109
[Ep  6200/15000] reward=0.968 | eps=0.538 | success_rate=0.99 | q_states=5117
[Ep  6400/15000] reward=0.890 | eps=0.527 | success_rate=0.99 | q_states=5121
[Ep  6600/15000] reward=0.897 | eps=0.517 | success_rate=1.00 | q_states=5121
[Ep  6800/15000] reward=0.943 | eps=0.507 | success_rate=0.99 | q_states=5134
[Ep  7000/15000] reward=0.945 | eps=0.497 | success_rate=0.99 | q_states=5134
[Ep  7200/15000] reward=0.938 | eps=0.487 | success_rate=1.00 | q_states=5134
[Ep  7400/15000] reward=0.823 | eps=0.477 | success_rate=1.00 | q_states=5134
[Ep  7600/15000] reward=0.867 | eps=0.468 | success_rate=0.99 | q_states=5145
[Ep  7800/15000] reward=0.945 | eps=0.458 | success_rate=1.00 | q_states=5145
[Ep  8000/15000] reward=0.915 | eps=0.449 | success_rate=0.99 | q_states=5147
[Ep  8200/15000] reward=0.968 | eps=0.440 | success_rate=1.00 | q_states=5147
[Ep  8400/15000] reward=0.950 | eps=0.432 | success_rate=1.00 | q_states=5147
[Ep  8600/15000] reward=0.927 | eps=0.423 | success_rate=1.00 | q_states=5147
[Ep  8800/15000] reward=0.945 | eps=0.415 | success_rate=1.00 | q_states=5147
[Ep  9000/15000] reward=0.927 | eps=0.407 | success_rate=1.00 | q_states=5147
[Ep  9200/15000] reward=0.950 | eps=0.398 | success_rate=1.00 | q_states=5147
[Ep  9400/15000] reward=0.970 | eps=0.391 | success_rate=1.00 | q_states=5147
[Ep  9600/15000] reward=0.927 | eps=0.383 | success_rate=1.00 | q_states=5147
[Ep  9800/15000] reward=0.905 | eps=0.375 | success_rate=1.00 | q_states=5147
[Ep 10000/15000] reward=0.938 | eps=0.368 | success_rate=1.00 | q_states=5147
[Ep 10200/15000] reward=0.963 | eps=0.361 | success_rate=0.99 | q_states=5150
[Ep 10400/15000] reward=0.970 | eps=0.353 | success_rate=1.00 | q_states=5150
[Ep 10600/15000] reward=0.925 | eps=0.346 | success_rate=1.00 | q_states=5150
[Ep 10800/15000] reward=0.970 | eps=0.340 | success_rate=1.00 | q_states=5150
[Ep 11000/15000] reward=0.973 | eps=0.333 | success_rate=1.00 | q_states=5150
[Ep 11200/15000] reward=0.955 | eps=0.326 | success_rate=1.00 | q_states=5150
[Ep 11400/15000] reward=0.943 | eps=0.320 | success_rate=1.00 | q_states=5150
[Ep 11600/15000] reward=0.968 | eps=0.313 | success_rate=1.00 | q_states=5150
[Ep 11800/15000] reward=0.958 | eps=0.307 | success_rate=1.00 | q_states=5150
[Ep 12000/15000] reward=0.938 | eps=0.301 | success_rate=1.00 | q_states=5150
[Ep 12200/15000] reward=0.958 | eps=0.295 | success_rate=1.00 | q_states=5150
[Ep 12400/15000] reward=0.938 | eps=0.289 | success_rate=0.99 | q_states=5150
[Ep 12600/15000] reward=0.935 | eps=0.284 | success_rate=1.00 | q_states=5150
