[Ep     0/10000] reward=0.000 | eps=1.000 | success_rate=0.00 | q_states=119
[Ep   200/10000] reward=0.000 | eps=0.980 | success_rate=0.02 | q_states=10489
[Ep   400/10000] reward=0.000 | eps=0.961 | success_rate=0.03 | q_states=16090
[Ep   600/10000] reward=0.000 | eps=0.942 | success_rate=0.01 | q_states=19557
[Ep   800/10000] reward=0.000 | eps=0.923 | success_rate=0.01 | q_states=21645
[Ep  1000/10000] reward=0.000 | eps=0.905 | success_rate=0.03 | q_states=23751
[Ep  1200/10000] reward=0.000 | eps=0.887 | success_rate=0.00 | q_states=24946
[Ep  1400/10000] reward=0.000 | eps=0.869 | success_rate=0.01 | q_states=25922
[Ep  1600/10000] reward=0.000 | eps=0.852 | success_rate=0.02 | q_states=26868
[Ep  1800/10000] reward=0.000 | eps=0.835 | success_rate=0.01 | q_states=27432
[Ep  2000/10000] reward=0.000 | eps=0.819 | success_rate=0.00 | q_states=28483
[Ep  2200/10000] reward=0.000 | eps=0.802 | success_rate=0.00 | q_states=29147
[Ep  2400/10000] reward=0.000 | eps=0.787 | success_rate=0.00 | q_states=29706
[Ep  2600/10000] reward=0.000 | eps=0.771 | success_rate=0.01 | q_states=30047
[Ep  2800/10000] reward=0.000 | eps=0.756 | success_rate=0.01 | q_states=30432
[Ep  3000/10000] reward=0.000 | eps=0.741 | success_rate=0.01 | q_states=30648
[Ep  3200/10000] reward=0.000 | eps=0.726 | success_rate=0.00 | q_states=31138
[Ep  3400/10000] reward=0.000 | eps=0.712 | success_rate=0.01 | q_states=31562
[Ep  3600/10000] reward=0.000 | eps=0.698 | success_rate=0.00 | q_states=31861
[Ep  3800/10000] reward=0.000 | eps=0.684 | success_rate=0.00 | q_states=32340
[Ep  4000/10000] reward=0.000 | eps=0.670 | success_rate=0.00 | q_states=32769
[Ep  4200/10000] reward=0.000 | eps=0.657 | success_rate=0.01 | q_states=32936
[Ep  4400/10000] reward=0.000 | eps=0.644 | success_rate=0.01 | q_states=33474
[Ep  4600/10000] reward=0.000 | eps=0.631 | success_rate=0.02 | q_states=33669
[Ep  4800/10000] reward=0.000 | eps=0.619 | success_rate=0.00 | q_states=33800
[Ep  5000/10000] reward=0.339 | eps=0.606 | success_rate=0.01 | q_states=33976
[Ep  5200/10000] reward=0.000 | eps=0.594 | success_rate=0.00 | q_states=34085
[Ep  5400/10000] reward=0.000 | eps=0.583 | success_rate=0.00 | q_states=34344
[Ep  5600/10000] reward=0.000 | eps=0.571 | success_rate=0.00 | q_states=34372
[Ep  5800/10000] reward=0.000 | eps=0.560 | success_rate=0.00 | q_states=34508
[Ep  6000/10000] reward=0.000 | eps=0.549 | success_rate=0.00 | q_states=34805
[Ep  6200/10000] reward=0.000 | eps=0.538 | success_rate=0.01 | q_states=35077
[Ep  6400/10000] reward=0.000 | eps=0.527 | success_rate=0.00 | q_states=35187
[Ep  6600/10000] reward=0.000 | eps=0.517 | success_rate=0.00 | q_states=35296
[Ep  6800/10000] reward=0.000 | eps=0.507 | success_rate=0.00 | q_states=35511
[Ep  7000/10000] reward=0.000 | eps=0.497 | success_rate=0.00 | q_states=35651
[Ep  7200/10000] reward=0.000 | eps=0.487 | success_rate=0.00 | q_states=35666
[Ep  7400/10000] reward=0.000 | eps=0.477 | success_rate=0.00 | q_states=35721
[Ep  7600/10000] reward=0.000 | eps=0.468 | success_rate=0.00 | q_states=35758
[Ep  7800/10000] reward=0.000 | eps=0.458 | success_rate=0.00 | q_states=35811
[Ep  8000/10000] reward=0.000 | eps=0.449 | success_rate=0.00 | q_states=35937
[Ep  8200/10000] reward=0.000 | eps=0.440 | success_rate=0.01 | q_states=36045
[Ep  8400/10000] reward=0.000 | eps=0.432 | success_rate=0.00 | q_states=36086
[Ep  8600/10000] reward=0.000 | eps=0.423 | success_rate=0.00 | q_states=36253
[Ep  8800/10000] reward=0.000 | eps=0.415 | success_rate=0.01 | q_states=36335
[Ep  9000/10000] reward=0.000 | eps=0.407 | success_rate=0.01 | q_states=36500
[Ep  9200/10000] reward=0.000 | eps=0.398 | success_rate=0.00 | q_states=36552
[Ep  9400/10000] reward=0.000 | eps=0.391 | success_rate=0.00 | q_states=36597
[Ep  9600/10000] reward=0.000 | eps=0.383 | success_rate=0.01 | q_states=36644
[Ep  9800/10000] reward=0.000 | eps=0.375 | success_rate=0.00 | q_states=36699
[Ep  9999/10000] reward=0.000 | eps=0.368 | success_rate=0.00 | q_states=36825
