[Ep     0/10000] reward=0.000 | eps=1.000 | success_rate=0.00 | q_states=108
[Ep   200/10000] reward=0.000 | eps=0.998 | success_rate=0.03 | q_states=9959
[Ep   400/10000] reward=0.000 | eps=0.996 | success_rate=0.03 | q_states=15791
[Ep   600/10000] reward=0.000 | eps=0.994 | success_rate=0.04 | q_states=19288
[Ep   800/10000] reward=0.000 | eps=0.992 | success_rate=0.02 | q_states=21593
[Ep  1000/10000] reward=0.000 | eps=0.990 | success_rate=0.05 | q_states=23792
[Ep  1200/10000] reward=0.000 | eps=0.988 | success_rate=0.02 | q_states=25329
[Ep  1400/10000] reward=0.000 | eps=0.986 | success_rate=0.00 | q_states=26480
[Ep  1600/10000] reward=0.000 | eps=0.984 | success_rate=0.02 | q_states=27756
[Ep  1800/10000] reward=0.000 | eps=0.982 | success_rate=0.00 | q_states=28786
[Ep  2000/10000] reward=0.000 | eps=0.980 | success_rate=0.01 | q_states=29851
[Ep  2200/10000] reward=0.000 | eps=0.978 | success_rate=0.04 | q_states=30873
[Ep  2400/10000] reward=0.000 | eps=0.976 | success_rate=0.01 | q_states=31464
[Ep  2600/10000] reward=0.000 | eps=0.974 | success_rate=0.03 | q_states=31923
[Ep  2800/10000] reward=0.000 | eps=0.972 | success_rate=0.01 | q_states=32736
[Ep  3000/10000] reward=0.000 | eps=0.970 | success_rate=0.01 | q_states=33170
[Ep  3200/10000] reward=0.000 | eps=0.968 | success_rate=0.03 | q_states=33767
[Ep  3400/10000] reward=0.000 | eps=0.967 | success_rate=0.04 | q_states=34482
[Ep  3600/10000] reward=0.000 | eps=0.965 | success_rate=0.03 | q_states=35174
[Ep  3800/10000] reward=0.000 | eps=0.963 | success_rate=0.00 | q_states=35733
[Ep  4000/10000] reward=0.000 | eps=0.961 | success_rate=0.01 | q_states=36130
[Ep  4200/10000] reward=0.000 | eps=0.959 | success_rate=0.01 | q_states=36737
[Ep  4400/10000] reward=0.000 | eps=0.957 | success_rate=0.02 | q_states=37156
[Ep  4600/10000] reward=0.000 | eps=0.955 | success_rate=0.01 | q_states=37589
[Ep  4800/10000] reward=0.000 | eps=0.953 | success_rate=0.01 | q_states=37999
[Ep  5000/10000] reward=0.000 | eps=0.951 | success_rate=0.02 | q_states=38343
[Ep  5200/10000] reward=0.000 | eps=0.949 | success_rate=0.01 | q_states=38850
[Ep  5400/10000] reward=0.000 | eps=0.947 | success_rate=0.01 | q_states=39319
[Ep  5600/10000] reward=0.000 | eps=0.946 | success_rate=0.01 | q_states=39758
[Ep  5800/10000] reward=0.000 | eps=0.944 | success_rate=0.02 | q_states=39967
[Ep  6000/10000] reward=0.000 | eps=0.942 | success_rate=0.02 | q_states=40313
[Ep  6200/10000] reward=0.000 | eps=0.940 | success_rate=0.03 | q_states=40727
[Ep  6400/10000] reward=0.000 | eps=0.938 | success_rate=0.02 | q_states=41238
[Ep  6600/10000] reward=0.000 | eps=0.936 | success_rate=0.05 | q_states=41598
[Ep  6800/10000] reward=0.000 | eps=0.934 | success_rate=0.00 | q_states=42199
[Ep  7000/10000] reward=0.000 | eps=0.932 | success_rate=0.03 | q_states=42921
[Ep  7200/10000] reward=0.000 | eps=0.931 | success_rate=0.04 | q_states=43298
[Ep  7400/10000] reward=0.000 | eps=0.929 | success_rate=0.02 | q_states=43627
[Ep  7600/10000] reward=0.000 | eps=0.927 | success_rate=0.06 | q_states=43964
[Ep  7800/10000] reward=0.000 | eps=0.925 | success_rate=0.01 | q_states=44492
[Ep  8000/10000] reward=0.000 | eps=0.923 | success_rate=0.06 | q_states=44774
[Ep  8200/10000] reward=0.000 | eps=0.921 | success_rate=0.04 | q_states=45232
[Ep  8400/10000] reward=0.000 | eps=0.919 | success_rate=0.07 | q_states=45849
[Ep  8600/10000] reward=0.000 | eps=0.918 | success_rate=0.07 | q_states=46278
[Ep  8800/10000] reward=0.000 | eps=0.916 | success_rate=0.06 | q_states=46477
[Ep  9000/10000] reward=0.000 | eps=0.914 | success_rate=0.04 | q_states=46939
[Ep  9200/10000] reward=0.783 | eps=0.912 | success_rate=0.09 | q_states=47596
[Ep  9400/10000] reward=0.000 | eps=0.910 | success_rate=0.08 | q_states=47920
[Ep  9600/10000] reward=0.000 | eps=0.908 | success_rate=0.05 | q_states=48273
[Ep  9800/10000] reward=0.000 | eps=0.907 | success_rate=0.08 | q_states=48635
[Ep  9999/10000] reward=0.000 | eps=0.905 | success_rate=0.09 | q_states=49332
