[Ep     0/10000] reward=0.000 | eps=1.000 | success_rate=0.00 | q_states=49
[Ep   200/10000] reward=0.000 | eps=0.990 | success_rate=0.01 | q_states=11149
[Ep   400/10000] reward=0.000 | eps=0.980 | success_rate=0.02 | q_states=16941
[Ep   600/10000] reward=0.000 | eps=0.970 | success_rate=0.02 | q_states=20588
[Ep   800/10000] reward=0.000 | eps=0.961 | success_rate=0.02 | q_states=23053
[Ep  1000/10000] reward=0.000 | eps=0.951 | success_rate=0.03 | q_states=24737
[Ep  1200/10000] reward=0.000 | eps=0.942 | success_rate=0.04 | q_states=26003
[Ep  1400/10000] reward=0.000 | eps=0.932 | success_rate=0.03 | q_states=27306
[Ep  1600/10000] reward=0.000 | eps=0.923 | success_rate=0.02 | q_states=28271
[Ep  1800/10000] reward=0.000 | eps=0.914 | success_rate=0.03 | q_states=29244
[Ep  2000/10000] reward=0.000 | eps=0.905 | success_rate=0.01 | q_states=29977
[Ep  2200/10000] reward=0.387 | eps=0.896 | success_rate=0.03 | q_states=30855
[Ep  2400/10000] reward=0.000 | eps=0.887 | success_rate=0.02 | q_states=31729
[Ep  2600/10000] reward=0.000 | eps=0.878 | success_rate=0.02 | q_states=32509
[Ep  2800/10000] reward=0.000 | eps=0.869 | success_rate=0.01 | q_states=32919
[Ep  3000/10000] reward=0.000 | eps=0.861 | success_rate=0.01 | q_states=33326
[Ep  3200/10000] reward=0.000 | eps=0.852 | success_rate=0.00 | q_states=33623
[Ep  3400/10000] reward=0.000 | eps=0.844 | success_rate=0.04 | q_states=33923
[Ep  3600/10000] reward=0.000 | eps=0.835 | success_rate=0.01 | q_states=34200
[Ep  3800/10000] reward=0.000 | eps=0.827 | success_rate=0.00 | q_states=34464
[Ep  4000/10000] reward=0.000 | eps=0.819 | success_rate=0.03 | q_states=34785
[Ep  4200/10000] reward=0.000 | eps=0.811 | success_rate=0.01 | q_states=35416
[Ep  4400/10000] reward=0.000 | eps=0.802 | success_rate=0.01 | q_states=35757
[Ep  4600/10000] reward=0.819 | eps=0.794 | success_rate=0.02 | q_states=35958
[Ep  4800/10000] reward=0.000 | eps=0.787 | success_rate=0.01 | q_states=36434
[Ep  5000/10000] reward=0.000 | eps=0.779 | success_rate=0.01 | q_states=36688
[Ep  5200/10000] reward=0.000 | eps=0.771 | success_rate=0.00 | q_states=37010
[Ep  5400/10000] reward=0.000 | eps=0.763 | success_rate=0.03 | q_states=37261
[Ep  5600/10000] reward=0.000 | eps=0.756 | success_rate=0.00 | q_states=37601
[Ep  5800/10000] reward=0.000 | eps=0.748 | success_rate=0.00 | q_states=37738
[Ep  6000/10000] reward=0.000 | eps=0.741 | success_rate=0.03 | q_states=37923
[Ep  6200/10000] reward=0.000 | eps=0.733 | success_rate=0.03 | q_states=38263
[Ep  6400/10000] reward=0.000 | eps=0.726 | success_rate=0.01 | q_states=38485
[Ep  6600/10000] reward=0.000 | eps=0.719 | success_rate=0.01 | q_states=38601
[Ep  6800/10000] reward=0.000 | eps=0.712 | success_rate=0.02 | q_states=38780
[Ep  7000/10000] reward=0.000 | eps=0.705 | success_rate=0.02 | q_states=39037
[Ep  7200/10000] reward=0.000 | eps=0.698 | success_rate=0.01 | q_states=39184
[Ep  7400/10000] reward=0.000 | eps=0.691 | success_rate=0.03 | q_states=39403
[Ep  7600/10000] reward=0.000 | eps=0.684 | success_rate=0.01 | q_states=39549
[Ep  7800/10000] reward=0.000 | eps=0.677 | success_rate=0.00 | q_states=39809
[Ep  8000/10000] reward=0.000 | eps=0.670 | success_rate=0.01 | q_states=39962
[Ep  8200/10000] reward=0.000 | eps=0.664 | success_rate=0.03 | q_states=40195
[Ep  8400/10000] reward=0.000 | eps=0.657 | success_rate=0.00 | q_states=40415
[Ep  8600/10000] reward=0.000 | eps=0.650 | success_rate=0.01 | q_states=40624
[Ep  8800/10000] reward=0.000 | eps=0.644 | success_rate=0.01 | q_states=40766
[Ep  9000/10000] reward=0.000 | eps=0.638 | success_rate=0.03 | q_states=40896
[Ep  9200/10000] reward=0.000 | eps=0.631 | success_rate=0.02 | q_states=41009
[Ep  9400/10000] reward=0.000 | eps=0.625 | success_rate=0.04 | q_states=41072
[Ep  9600/10000] reward=0.000 | eps=0.619 | success_rate=0.01 | q_states=41238
[Ep  9800/10000] reward=0.000 | eps=0.613 | success_rate=0.03 | q_states=41382
[Ep  9999/10000] reward=0.000 | eps=0.607 | success_rate=0.03 | q_states=41549
