[Ep     0/10000] reward=0.000 | eps=1.000 | success_rate=0.00 | q_states=98
[Ep   200/10000] reward=0.000 | eps=0.980 | success_rate=0.05 | q_states=10924
[Ep   400/10000] reward=0.000 | eps=0.961 | success_rate=0.03 | q_states=16844
[Ep   600/10000] reward=0.000 | eps=0.942 | success_rate=0.01 | q_states=20331
[Ep   800/10000] reward=0.000 | eps=0.923 | success_rate=0.02 | q_states=22575
[Ep  1000/10000] reward=0.000 | eps=0.905 | success_rate=0.03 | q_states=24289
[Ep  1200/10000] reward=0.000 | eps=0.887 | success_rate=0.02 | q_states=25440
[Ep  1400/10000] reward=0.000 | eps=0.869 | success_rate=0.03 | q_states=26464
[Ep  1600/10000] reward=0.000 | eps=0.852 | success_rate=0.02 | q_states=27301
[Ep  1800/10000] reward=0.000 | eps=0.835 | success_rate=0.01 | q_states=28194
[Ep  2000/10000] reward=0.152 | eps=0.819 | success_rate=0.05 | q_states=28913
[Ep  2200/10000] reward=0.000 | eps=0.802 | success_rate=0.00 | q_states=29174
[Ep  2400/10000] reward=0.000 | eps=0.787 | success_rate=0.01 | q_states=29822
[Ep  2600/10000] reward=0.000 | eps=0.771 | success_rate=0.00 | q_states=30275
[Ep  2800/10000] reward=0.000 | eps=0.756 | success_rate=0.01 | q_states=30702
[Ep  3000/10000] reward=0.000 | eps=0.741 | success_rate=0.01 | q_states=31243
[Ep  3200/10000] reward=0.000 | eps=0.726 | success_rate=0.00 | q_states=31501
[Ep  3400/10000] reward=0.000 | eps=0.712 | success_rate=0.01 | q_states=31865
[Ep  3600/10000] reward=0.000 | eps=0.698 | success_rate=0.00 | q_states=32229
[Ep  3800/10000] reward=0.000 | eps=0.684 | success_rate=0.03 | q_states=32463
[Ep  4000/10000] reward=0.000 | eps=0.670 | success_rate=0.00 | q_states=32784
[Ep  4200/10000] reward=0.000 | eps=0.657 | success_rate=0.02 | q_states=33276
[Ep  4400/10000] reward=0.000 | eps=0.644 | success_rate=0.00 | q_states=33494
[Ep  4600/10000] reward=0.000 | eps=0.631 | success_rate=0.00 | q_states=33722
[Ep  4800/10000] reward=0.000 | eps=0.619 | success_rate=0.02 | q_states=34061
[Ep  5000/10000] reward=0.000 | eps=0.606 | success_rate=0.01 | q_states=34341
[Ep  5200/10000] reward=0.000 | eps=0.594 | success_rate=0.00 | q_states=34462
[Ep  5400/10000] reward=0.000 | eps=0.583 | success_rate=0.00 | q_states=34745
[Ep  5600/10000] reward=0.000 | eps=0.571 | success_rate=0.01 | q_states=35006
[Ep  5800/10000] reward=0.000 | eps=0.560 | success_rate=0.00 | q_states=35150
[Ep  6000/10000] reward=0.000 | eps=0.549 | success_rate=0.01 | q_states=35406
[Ep  6200/10000] reward=0.000 | eps=0.538 | success_rate=0.00 | q_states=35442
[Ep  6400/10000] reward=0.000 | eps=0.527 | success_rate=0.00 | q_states=35693
[Ep  6600/10000] reward=0.000 | eps=0.517 | success_rate=0.00 | q_states=35888
[Ep  6800/10000] reward=0.000 | eps=0.507 | success_rate=0.00 | q_states=36021
[Ep  7000/10000] reward=0.000 | eps=0.497 | success_rate=0.01 | q_states=36175
[Ep  7200/10000] reward=0.000 | eps=0.487 | success_rate=0.00 | q_states=36260
[Ep  7400/10000] reward=0.000 | eps=0.477 | success_rate=0.01 | q_states=36354
[Ep  7600/10000] reward=0.000 | eps=0.468 | success_rate=0.02 | q_states=36363
[Ep  7800/10000] reward=0.000 | eps=0.458 | success_rate=0.01 | q_states=36635
[Ep  8000/10000] reward=0.000 | eps=0.449 | success_rate=0.00 | q_states=36678
[Ep  8200/10000] reward=0.000 | eps=0.440 | success_rate=0.01 | q_states=36821
[Ep  8400/10000] reward=0.000 | eps=0.432 | success_rate=0.00 | q_states=36889
[Ep  8600/10000] reward=0.000 | eps=0.423 | success_rate=0.00 | q_states=36983
[Ep  8800/10000] reward=0.000 | eps=0.415 | success_rate=0.00 | q_states=37168
[Ep  9000/10000] reward=0.000 | eps=0.407 | success_rate=0.00 | q_states=37193
[Ep  9200/10000] reward=0.000 | eps=0.398 | success_rate=0.00 | q_states=37233
[Ep  9400/10000] reward=0.000 | eps=0.391 | success_rate=0.00 | q_states=37301
[Ep  9600/10000] reward=0.000 | eps=0.383 | success_rate=0.00 | q_states=37367
[Ep  9800/10000] reward=0.000 | eps=0.375 | success_rate=0.01 | q_states=37430
[34m[1mwandb[0m: Ctrl + C detected. Stopping sweep.

Sweep completato! Controlla wandb.ai per i migliori iperparametri.
Poi esegui: python script.py --mode train --alpha X --gamma Y ...
