[Ep     0/5000] reward=0.125 | eps=1.000 | success_rate=1.00 | q_states=31
[Ep   200/5000] reward=0.000 | eps=0.980 | success_rate=0.73 | q_states=1819
[Ep   400/5000] reward=0.227 | eps=0.961 | success_rate=0.76 | q_states=2445
[Ep   600/5000] reward=0.389 | eps=0.942 | success_rate=0.84 | q_states=3231
[Ep   800/5000] reward=0.607 | eps=0.923 | success_rate=0.90 | q_states=3753
[Ep  1000/5000] reward=1.240 | eps=0.905 | success_rate=0.92 | q_states=4146
[Ep  1200/5000] reward=0.250 | eps=0.887 | success_rate=0.97 | q_states=4482
[Ep  1400/5000] reward=1.417 | eps=0.869 | success_rate=1.00 | q_states=4716
[Ep  1600/5000] reward=1.038 | eps=0.852 | success_rate=1.00 | q_states=4889
[Ep  1800/5000] reward=0.278 | eps=0.835 | success_rate=1.00 | q_states=4952
[Ep  2000/5000] reward=1.275 | eps=0.819 | success_rate=1.00 | q_states=5046
[Ep  2200/5000] reward=1.268 | eps=0.802 | success_rate=1.00 | q_states=5076
[Ep  2400/5000] reward=1.312 | eps=0.787 | success_rate=1.00 | q_states=5116
[Ep  2600/5000] reward=1.377 | eps=0.771 | success_rate=1.00 | q_states=5160
[Ep  2800/5000] reward=1.275 | eps=0.756 | success_rate=1.00 | q_states=5169
[Ep  3000/5000] reward=1.278 | eps=0.741 | success_rate=1.00 | q_states=5199
[Ep  3200/5000] reward=1.337 | eps=0.726 | success_rate=1.00 | q_states=5203
[Ep  3400/5000] reward=1.240 | eps=0.712 | success_rate=1.00 | q_states=5279
[Ep  3600/5000] reward=1.390 | eps=0.698 | success_rate=1.00 | q_states=5301
[Ep  3800/5000] reward=1.448 | eps=0.684 | success_rate=1.00 | q_states=5309
[Ep  4000/5000] reward=1.382 | eps=0.670 | success_rate=1.00 | q_states=5313
[Ep  4200/5000] reward=1.288 | eps=0.657 | success_rate=1.00 | q_states=5323
[Ep  4400/5000] reward=1.410 | eps=0.644 | success_rate=1.00 | q_states=5323
[Ep  4600/5000] reward=1.395 | eps=0.631 | success_rate=1.00 | q_states=5323
[Ep  4800/5000] reward=1.370 | eps=0.619 | success_rate=1.00 | q_states=5323
[Ep  4999/5000] reward=1.380 | eps=0.607 | success_rate=1.00 | q_states=5333
