[Ep     0/10000] reward=0.000 | eps=1.000 | success_rate=0.00 | q_states=26
[Ep   200/10000] reward=0.000 | eps=0.990 | success_rate=0.06 | q_states=1704
[Ep   400/10000] reward=0.000 | eps=0.980 | success_rate=0.01 | q_states=2196
[Ep   600/10000] reward=0.000 | eps=0.970 | success_rate=0.08 | q_states=2691
[Ep   800/10000] reward=0.000 | eps=0.961 | success_rate=0.09 | q_states=3136
[Ep  1000/10000] reward=0.000 | eps=0.951 | success_rate=0.10 | q_states=3499
[Ep  1200/10000] reward=0.000 | eps=0.942 | success_rate=0.12 | q_states=3834
[Ep  1400/10000] reward=0.000 | eps=0.932 | success_rate=0.19 | q_states=4112
[Ep  1600/10000] reward=0.000 | eps=0.923 | success_rate=0.28 | q_states=4290
[Ep  1800/10000] reward=0.000 | eps=0.914 | success_rate=0.30 | q_states=4449
[Ep  2000/10000] reward=0.583 | eps=0.905 | success_rate=0.33 | q_states=4666
[Ep  2200/10000] reward=0.810 | eps=0.896 | success_rate=0.32 | q_states=4779
[Ep  2400/10000] reward=0.368 | eps=0.887 | success_rate=0.40 | q_states=4879
[Ep  2600/10000] reward=0.000 | eps=0.878 | success_rate=0.53 | q_states=5008
[Ep  2800/10000] reward=0.205 | eps=0.869 | success_rate=0.63 | q_states=5164
[Ep  3000/10000] reward=0.660 | eps=0.861 | success_rate=0.76 | q_states=5248
[Ep  3200/10000] reward=0.777 | eps=0.852 | success_rate=0.89 | q_states=5347
[Ep  3400/10000] reward=0.557 | eps=0.844 | success_rate=0.96 | q_states=5383
[Ep  3600/10000] reward=0.635 | eps=0.835 | success_rate=0.93 | q_states=5467
[Ep  3800/10000] reward=0.443 | eps=0.827 | success_rate=0.98 | q_states=5494
[Ep  4000/10000] reward=0.685 | eps=0.819 | success_rate=0.98 | q_states=5513
[Ep  4200/10000] reward=0.652 | eps=0.811 | success_rate=0.94 | q_states=5546
[Ep  4400/10000] reward=0.835 | eps=0.802 | success_rate=0.99 | q_states=5553
[Ep  4600/10000] reward=0.755 | eps=0.794 | success_rate=0.97 | q_states=5625
[Ep  4800/10000] reward=0.830 | eps=0.787 | success_rate=1.00 | q_states=5665
[Ep  5000/10000] reward=0.810 | eps=0.779 | success_rate=1.00 | q_states=5680
[Ep  5200/10000] reward=0.877 | eps=0.771 | success_rate=0.99 | q_states=5680
[Ep  5400/10000] reward=0.655 | eps=0.763 | success_rate=1.00 | q_states=5682
[Ep  5600/10000] reward=0.948 | eps=0.756 | success_rate=1.00 | q_states=5688
[Ep  5800/10000] reward=0.892 | eps=0.748 | success_rate=1.00 | q_states=5688
[Ep  6000/10000] reward=0.875 | eps=0.741 | success_rate=0.99 | q_states=5693
[Ep  6200/10000] reward=0.745 | eps=0.733 | success_rate=1.00 | q_states=5693
[Ep  6400/10000] reward=0.838 | eps=0.726 | success_rate=1.00 | q_states=5703
[Ep  6600/10000] reward=0.963 | eps=0.719 | success_rate=1.00 | q_states=5703
[Ep  6800/10000] reward=0.897 | eps=0.712 | success_rate=1.00 | q_states=5703
[Ep  7000/10000] reward=0.915 | eps=0.705 | success_rate=1.00 | q_states=5711
[Ep  7200/10000] reward=0.905 | eps=0.698 | success_rate=1.00 | q_states=5714
[Ep  7400/10000] reward=0.828 | eps=0.691 | success_rate=1.00 | q_states=5729
[Ep  7600/10000] reward=0.887 | eps=0.684 | success_rate=1.00 | q_states=5729
[Ep  7800/10000] reward=0.925 | eps=0.677 | success_rate=1.00 | q_states=5729
[Ep  8000/10000] reward=0.780 | eps=0.670 | success_rate=1.00 | q_states=5730
[Ep  8200/10000] reward=0.657 | eps=0.664 | success_rate=1.00 | q_states=5730
[Ep  8400/10000] reward=0.890 | eps=0.657 | success_rate=1.00 | q_states=5736
[Ep  8600/10000] reward=0.930 | eps=0.650 | success_rate=1.00 | q_states=5736
[Ep  8800/10000] reward=0.858 | eps=0.644 | success_rate=1.00 | q_states=5736
[Ep  9000/10000] reward=0.950 | eps=0.638 | success_rate=1.00 | q_states=5739
[Ep  9200/10000] reward=0.902 | eps=0.631 | success_rate=1.00 | q_states=5739
[Ep  9400/10000] reward=0.843 | eps=0.625 | success_rate=1.00 | q_states=5739
[Ep  9600/10000] reward=0.907 | eps=0.619 | success_rate=1.00 | q_states=5739
[Ep  9800/10000] reward=0.843 | eps=0.613 | success_rate=1.00 | q_states=5740
[Ep  9999/10000] reward=0.877 | eps=0.607 | success_rate=1.00 | q_states=5740
