[Ep     0/10000] reward=0.000 | eps=1.000 | success_rate=0.00 | q_states=29
[Ep   200/10000] reward=0.000 | eps=0.990 | success_rate=0.04 | q_states=1801
[Ep   400/10000] reward=0.118 | eps=0.980 | success_rate=0.05 | q_states=2450
[Ep   600/10000] reward=0.000 | eps=0.970 | success_rate=0.03 | q_states=2744
[Ep   800/10000] reward=0.000 | eps=0.961 | success_rate=0.04 | q_states=3056
[Ep  1000/10000] reward=0.000 | eps=0.951 | success_rate=0.05 | q_states=3264
[Ep  1200/10000] reward=0.000 | eps=0.942 | success_rate=0.09 | q_states=3598
[Ep  1400/10000] reward=0.000 | eps=0.932 | success_rate=0.15 | q_states=3904
[Ep  1600/10000] reward=0.000 | eps=0.923 | success_rate=0.19 | q_states=4184
[Ep  1800/10000] reward=0.000 | eps=0.914 | success_rate=0.24 | q_states=4482
[Ep  2000/10000] reward=0.000 | eps=0.905 | success_rate=0.24 | q_states=4631
[Ep  2200/10000] reward=0.162 | eps=0.896 | success_rate=0.30 | q_states=4834
[Ep  2400/10000] reward=0.000 | eps=0.887 | success_rate=0.34 | q_states=4960
[Ep  2600/10000] reward=0.000 | eps=0.878 | success_rate=0.63 | q_states=5095
[Ep  2800/10000] reward=0.000 | eps=0.869 | success_rate=0.51 | q_states=5198
[Ep  3000/10000] reward=0.000 | eps=0.861 | success_rate=0.49 | q_states=5279
[Ep  3200/10000] reward=0.650 | eps=0.852 | success_rate=0.61 | q_states=5294
[Ep  3400/10000] reward=0.708 | eps=0.844 | success_rate=0.65 | q_states=5421
[Ep  3600/10000] reward=0.863 | eps=0.835 | success_rate=0.71 | q_states=5453
[Ep  3800/10000] reward=0.205 | eps=0.827 | success_rate=0.83 | q_states=5502
[Ep  4000/10000] reward=0.698 | eps=0.819 | success_rate=0.92 | q_states=5588
[Ep  4200/10000] reward=0.960 | eps=0.811 | success_rate=0.95 | q_states=5635
[Ep  4400/10000] reward=0.755 | eps=0.802 | success_rate=0.98 | q_states=5713
[Ep  4600/10000] reward=0.873 | eps=0.794 | success_rate=0.98 | q_states=5726
[Ep  4800/10000] reward=0.880 | eps=0.787 | success_rate=0.99 | q_states=5753
[Ep  5000/10000] reward=0.855 | eps=0.779 | success_rate=1.00 | q_states=5771
[Ep  5200/10000] reward=0.650 | eps=0.771 | success_rate=1.00 | q_states=5779
[Ep  5400/10000] reward=0.812 | eps=0.763 | success_rate=0.99 | q_states=5784
[Ep  5600/10000] reward=0.860 | eps=0.756 | success_rate=1.00 | q_states=5795
[Ep  5800/10000] reward=0.607 | eps=0.748 | success_rate=1.00 | q_states=5810
[Ep  6000/10000] reward=0.830 | eps=0.741 | success_rate=0.99 | q_states=5830
[Ep  6200/10000] reward=0.875 | eps=0.733 | success_rate=0.99 | q_states=5843
[Ep  6400/10000] reward=0.920 | eps=0.726 | success_rate=1.00 | q_states=5872
[Ep  6600/10000] reward=0.698 | eps=0.719 | success_rate=0.99 | q_states=5877
[Ep  6800/10000] reward=0.730 | eps=0.712 | success_rate=1.00 | q_states=5877
[Ep  7000/10000] reward=0.797 | eps=0.705 | success_rate=0.99 | q_states=5880
[Ep  7200/10000] reward=0.932 | eps=0.698 | success_rate=0.99 | q_states=5888
[Ep  7400/10000] reward=0.880 | eps=0.691 | success_rate=1.00 | q_states=5894
[Ep  7600/10000] reward=0.932 | eps=0.684 | success_rate=0.98 | q_states=5938
[Ep  7800/10000] reward=0.828 | eps=0.677 | success_rate=1.00 | q_states=5949
[Ep  8000/10000] reward=0.877 | eps=0.670 | success_rate=1.00 | q_states=5949
[Ep  8200/10000] reward=0.907 | eps=0.664 | success_rate=1.00 | q_states=5965
[Ep  8400/10000] reward=0.847 | eps=0.657 | success_rate=1.00 | q_states=5965
[Ep  8600/10000] reward=0.858 | eps=0.650 | success_rate=1.00 | q_states=5965
[Ep  8800/10000] reward=0.815 | eps=0.644 | success_rate=1.00 | q_states=5965
[Ep  9000/10000] reward=0.805 | eps=0.638 | success_rate=1.00 | q_states=5965
[Ep  9200/10000] reward=0.600 | eps=0.631 | success_rate=1.00 | q_states=5965
[Ep  9400/10000] reward=0.907 | eps=0.625 | success_rate=1.00 | q_states=5965
[Ep  9600/10000] reward=0.880 | eps=0.619 | success_rate=1.00 | q_states=5965
[Ep  9800/10000] reward=0.968 | eps=0.613 | success_rate=1.00 | q_states=5970
[Ep  9999/10000] reward=0.945 | eps=0.607 | success_rate=1.00 | q_states=5970
