[Ep     0/15000] reward=0.000 | eps=1.000 | success_rate=0.00 | q_states=57
[Ep   200/15000] reward=0.000 | eps=0.990 | success_rate=0.03 | q_states=1723
[Ep   400/15000] reward=0.000 | eps=0.980 | success_rate=0.05 | q_states=2076
[Ep   600/15000] reward=0.000 | eps=0.970 | success_rate=0.08 | q_states=2631
[Ep   800/15000] reward=0.000 | eps=0.961 | success_rate=0.04 | q_states=2942
[Ep  1000/15000] reward=0.000 | eps=0.951 | success_rate=0.08 | q_states=3273
[Ep  1200/15000] reward=0.000 | eps=0.942 | success_rate=0.09 | q_states=3645
[Ep  1400/15000] reward=0.000 | eps=0.932 | success_rate=0.17 | q_states=3900
[Ep  1600/15000] reward=0.527 | eps=0.923 | success_rate=0.26 | q_states=4184
[Ep  1800/15000] reward=0.000 | eps=0.914 | success_rate=0.35 | q_states=4470
[Ep  2000/15000] reward=0.000 | eps=0.905 | success_rate=0.45 | q_states=4939
[Ep  2200/15000] reward=0.000 | eps=0.896 | success_rate=0.54 | q_states=5204
[Ep  2400/15000] reward=0.633 | eps=0.887 | success_rate=0.80 | q_states=5396
[Ep  2600/15000] reward=0.863 | eps=0.878 | success_rate=0.79 | q_states=5511
[Ep  2800/15000] reward=0.538 | eps=0.869 | success_rate=0.81 | q_states=5628
[Ep  3000/15000] reward=0.685 | eps=0.861 | success_rate=0.92 | q_states=5696
[Ep  3200/15000] reward=0.772 | eps=0.852 | success_rate=0.94 | q_states=5724
[Ep  3400/15000] reward=0.230 | eps=0.844 | success_rate=0.88 | q_states=5779
[Ep  3600/15000] reward=0.695 | eps=0.835 | success_rate=0.94 | q_states=5839
[Ep  3800/15000] reward=0.762 | eps=0.827 | success_rate=0.93 | q_states=5873
[Ep  4000/15000] reward=0.662 | eps=0.819 | success_rate=1.00 | q_states=5889
[Ep  4200/15000] reward=0.877 | eps=0.811 | success_rate=0.97 | q_states=5914
[Ep  4400/15000] reward=0.787 | eps=0.802 | success_rate=1.00 | q_states=5924
[Ep  4600/15000] reward=0.895 | eps=0.794 | success_rate=0.99 | q_states=5949
[Ep  4800/15000] reward=0.765 | eps=0.787 | success_rate=1.00 | q_states=5951
[Ep  5000/15000] reward=0.897 | eps=0.779 | success_rate=1.00 | q_states=5972
[Ep  5200/15000] reward=0.787 | eps=0.771 | success_rate=1.00 | q_states=5972
[Ep  5400/15000] reward=0.873 | eps=0.763 | success_rate=1.00 | q_states=5976
[Ep  5600/15000] reward=0.818 | eps=0.756 | success_rate=1.00 | q_states=5979
[Ep  5800/15000] reward=0.588 | eps=0.748 | success_rate=1.00 | q_states=5979
[Ep  6000/15000] reward=0.655 | eps=0.741 | success_rate=1.00 | q_states=5979
[Ep  6200/15000] reward=0.843 | eps=0.733 | success_rate=1.00 | q_states=5980
[Ep  6400/15000] reward=0.685 | eps=0.726 | success_rate=0.99 | q_states=5980
[Ep  6600/15000] reward=0.762 | eps=0.719 | success_rate=1.00 | q_states=5980
[Ep  6800/15000] reward=0.825 | eps=0.712 | success_rate=1.00 | q_states=5990
[Ep  7000/15000] reward=0.910 | eps=0.705 | success_rate=1.00 | q_states=5994
[Ep  7200/15000] reward=0.858 | eps=0.698 | success_rate=1.00 | q_states=5999
