[Ep     0/10000] reward=0.000 | eps=1.000 | success_rate=0.00 | q_states=46
[Ep   200/10000] reward=0.000 | eps=0.990 | success_rate=0.04 | q_states=1853
[Ep   400/10000] reward=0.000 | eps=0.980 | success_rate=0.06 | q_states=2414
[Ep   600/10000] reward=0.000 | eps=0.970 | success_rate=0.03 | q_states=2673
[Ep   800/10000] reward=0.000 | eps=0.961 | success_rate=0.08 | q_states=3026
[Ep  1000/10000] reward=0.000 | eps=0.951 | success_rate=0.09 | q_states=3416
[Ep  1200/10000] reward=0.000 | eps=0.942 | success_rate=0.15 | q_states=3714
[Ep  1400/10000] reward=0.495 | eps=0.932 | success_rate=0.18 | q_states=4011
[Ep  1600/10000] reward=0.000 | eps=0.923 | success_rate=0.16 | q_states=4257
[Ep  1800/10000] reward=0.000 | eps=0.914 | success_rate=0.23 | q_states=4360
[Ep  2000/10000] reward=0.233 | eps=0.905 | success_rate=0.31 | q_states=4467
[Ep  2200/10000] reward=0.000 | eps=0.896 | success_rate=0.36 | q_states=4649
[Ep  2400/10000] reward=0.000 | eps=0.887 | success_rate=0.41 | q_states=4800
[Ep  2600/10000] reward=0.000 | eps=0.878 | success_rate=0.44 | q_states=4903
[Ep  2800/10000] reward=0.647 | eps=0.869 | success_rate=0.59 | q_states=5048
[Ep  3000/10000] reward=0.615 | eps=0.861 | success_rate=0.70 | q_states=5165
[Ep  3200/10000] reward=0.000 | eps=0.852 | success_rate=0.63 | q_states=5254
[Ep  3400/10000] reward=0.000 | eps=0.844 | success_rate=0.76 | q_states=5284
[Ep  3600/10000] reward=0.512 | eps=0.835 | success_rate=0.81 | q_states=5351
[Ep  3800/10000] reward=0.453 | eps=0.827 | success_rate=0.83 | q_states=5446
[Ep  4000/10000] reward=0.855 | eps=0.819 | success_rate=0.96 | q_states=5474
[Ep  4200/10000] reward=0.755 | eps=0.811 | success_rate=0.97 | q_states=5506
[Ep  4400/10000] reward=0.655 | eps=0.802 | success_rate=0.97 | q_states=5552
[Ep  4600/10000] reward=0.738 | eps=0.794 | success_rate=0.98 | q_states=5578
[Ep  4800/10000] reward=0.797 | eps=0.787 | success_rate=0.99 | q_states=5583
[Ep  5000/10000] reward=0.897 | eps=0.779 | success_rate=1.00 | q_states=5603
[Ep  5200/10000] reward=0.750 | eps=0.771 | success_rate=1.00 | q_states=5634
[Ep  5400/10000] reward=0.705 | eps=0.763 | success_rate=0.99 | q_states=5646
[Ep  5600/10000] reward=0.810 | eps=0.756 | success_rate=1.00 | q_states=5646
[Ep  5800/10000] reward=0.835 | eps=0.748 | success_rate=1.00 | q_states=5653
[Ep  6000/10000] reward=0.887 | eps=0.741 | success_rate=0.99 | q_states=5661
[Ep  6200/10000] reward=0.792 | eps=0.733 | success_rate=1.00 | q_states=5662
[Ep  6400/10000] reward=0.897 | eps=0.726 | success_rate=1.00 | q_states=5662
[Ep  6600/10000] reward=0.640 | eps=0.719 | success_rate=1.00 | q_states=5662
[Ep  6800/10000] reward=0.843 | eps=0.712 | success_rate=0.98 | q_states=5663
[Ep  7000/10000] reward=0.823 | eps=0.705 | success_rate=1.00 | q_states=5666
[Ep  7200/10000] reward=0.922 | eps=0.698 | success_rate=1.00 | q_states=5672
[Ep  7400/10000] reward=0.932 | eps=0.691 | success_rate=1.00 | q_states=5672
[Ep  7600/10000] reward=0.887 | eps=0.684 | success_rate=1.00 | q_states=5672
[Ep  7800/10000] reward=0.882 | eps=0.677 | success_rate=1.00 | q_states=5672
[Ep  8000/10000] reward=0.890 | eps=0.670 | success_rate=1.00 | q_states=5672
[Ep  8200/10000] reward=0.958 | eps=0.664 | success_rate=1.00 | q_states=5674
[Ep  8400/10000] reward=0.877 | eps=0.657 | success_rate=1.00 | q_states=5674
[Ep  8600/10000] reward=0.920 | eps=0.650 | success_rate=1.00 | q_states=5677
[Ep  8800/10000] reward=0.917 | eps=0.644 | success_rate=1.00 | q_states=5677
[Ep  9000/10000] reward=0.953 | eps=0.638 | success_rate=1.00 | q_states=5677
[Ep  9200/10000] reward=0.905 | eps=0.631 | success_rate=1.00 | q_states=5677
[Ep  9400/10000] reward=0.930 | eps=0.625 | success_rate=1.00 | q_states=5678
[Ep  9600/10000] reward=0.945 | eps=0.619 | success_rate=1.00 | q_states=5678
[Ep  9800/10000] reward=0.818 | eps=0.613 | success_rate=1.00 | q_states=5678
[Ep  9999/10000] reward=0.943 | eps=0.607 | success_rate=1.00 | q_states=5678
