[Ep      0/25000] reward=0.000 | eps=1.000 | success_rate=0.00 | q_states=71
[Ep    200/25000] reward=0.000 | eps=1.000 | success_rate=0.01 | q_states=10699
[Ep    400/25000] reward=0.000 | eps=1.000 | success_rate=0.03 | q_states=16330
[Ep    600/25000] reward=0.023 | eps=1.000 | success_rate=0.03 | q_states=20204
[Ep    800/25000] reward=0.021 | eps=1.000 | success_rate=0.00 | q_states=22570
[Ep   1000/25000] reward=0.050 | eps=1.000 | success_rate=0.04 | q_states=24568
[Ep   1200/25000] reward=-0.000 | eps=1.000 | success_rate=0.03 | q_states=26147
[Ep   1400/25000] reward=0.000 | eps=1.000 | success_rate=0.02 | q_states=27632
[Ep   1600/25000] reward=0.787 | eps=1.000 | success_rate=0.01 | q_states=28551
[Ep   1800/25000] reward=0.090 | eps=1.000 | success_rate=0.03 | q_states=29432
[Ep   2000/25000] reward=0.000 | eps=1.000 | success_rate=0.01 | q_states=29948
[Ep   2200/25000] reward=0.828 | eps=1.000 | success_rate=0.05 | q_states=30851
[Ep   2400/25000] reward=0.000 | eps=1.000 | success_rate=0.03 | q_states=31335
[Ep   2600/25000] reward=0.023 | eps=0.994 | success_rate=0.03 | q_states=32209
[Ep   2800/25000] reward=0.000 | eps=0.982 | success_rate=0.03 | q_states=33078
[Ep   3000/25000] reward=0.000 | eps=0.970 | success_rate=0.05 | q_states=33983
[Ep   3200/25000] reward=0.000 | eps=0.958 | success_rate=0.04 | q_states=35532
[Ep   3400/25000] reward=0.231 | eps=0.946 | success_rate=0.14 | q_states=37689
[Ep   3600/25000] reward=0.180 | eps=0.934 | success_rate=0.15 | q_states=40167
[Ep   3800/25000] reward=0.520 | eps=0.922 | success_rate=0.15 | q_states=42060
[Ep   4000/25000] reward=0.115 | eps=0.910 | success_rate=0.24 | q_states=44298
[Ep   4200/25000] reward=0.631 | eps=0.898 | success_rate=0.32 | q_states=47161
[Ep   4400/25000] reward=0.191 | eps=0.886 | success_rate=0.43 | q_states=49130
[Ep   4600/25000] reward=0.854 | eps=0.874 | success_rate=0.49 | q_states=51802
[Ep   4800/25000] reward=0.185 | eps=0.862 | success_rate=0.58 | q_states=54129
[Ep   5000/25000] reward=0.583 | eps=0.850 | success_rate=0.60 | q_states=56129
[Ep   5200/25000] reward=0.981 | eps=0.838 | success_rate=0.56 | q_states=57816
[Ep   5400/25000] reward=0.839 | eps=0.826 | success_rate=0.60 | q_states=59126
[Ep   5600/25000] reward=0.829 | eps=0.814 | success_rate=0.77 | q_states=60408
[Ep   5800/25000] reward=0.225 | eps=0.802 | success_rate=0.78 | q_states=61773
[Ep   6000/25000] reward=0.133 | eps=0.790 | success_rate=0.83 | q_states=62787
[Ep   6200/25000] reward=1.154 | eps=0.778 | success_rate=0.95 | q_states=63506
[Ep   6400/25000] reward=1.172 | eps=0.766 | success_rate=0.86 | q_states=64430
[Ep   6600/25000] reward=1.185 | eps=0.754 | success_rate=0.86 | q_states=64991
[Ep   6800/25000] reward=1.166 | eps=0.742 | success_rate=0.86 | q_states=65415
[Ep   7000/25000] reward=0.125 | eps=0.730 | success_rate=0.83 | q_states=65933
[Ep   7200/25000] reward=1.241 | eps=0.718 | success_rate=0.89 | q_states=66281
[Ep   7400/25000] reward=1.230 | eps=0.706 | success_rate=0.91 | q_states=66630
[Ep   7600/25000] reward=1.230 | eps=0.694 | success_rate=0.95 | q_states=67017
[Ep   7800/25000] reward=0.639 | eps=0.682 | success_rate=0.93 | q_states=67237
[Ep   8000/25000] reward=1.230 | eps=0.670 | success_rate=0.95 | q_states=67363
[Ep   8200/25000] reward=0.555 | eps=0.658 | success_rate=0.96 | q_states=67562
[Ep   8400/25000] reward=1.220 | eps=0.646 | success_rate=0.95 | q_states=67798
[Ep   8600/25000] reward=1.173 | eps=0.634 | success_rate=0.93 | q_states=67965
[Ep   8800/25000] reward=1.234 | eps=0.622 | success_rate=0.99 | q_states=68057
[Ep   9000/25000] reward=1.207 | eps=0.610 | success_rate=0.93 | q_states=68070
[Ep   9200/25000] reward=1.121 | eps=0.598 | success_rate=0.99 | q_states=68182
[Ep   9400/25000] reward=1.235 | eps=0.586 | success_rate=0.99 | q_states=68233
[Ep   9600/25000] reward=1.231 | eps=0.574 | success_rate=0.98 | q_states=68260
[Ep   9800/25000] reward=1.213 | eps=0.562 | success_rate=0.98 | q_states=68269
[Ep  10000/25000] reward=1.244 | eps=0.550 | success_rate=1.00 | q_states=68368
[Ep  10200/25000] reward=1.248 | eps=0.538 | success_rate=0.97 | q_states=68384
[Ep  10400/25000] reward=1.169 | eps=0.526 | success_rate=0.98 | q_states=68413
[Ep  10600/25000] reward=1.261 | eps=0.514 | success_rate=0.99 | q_states=68428
[Ep  10800/25000] reward=1.268 | eps=0.502 | success_rate=0.99 | q_states=68460
[Ep  11000/25000] reward=1.218 | eps=0.490 | success_rate=1.00 | q_states=68462
[Ep  11200/25000] reward=1.242 | eps=0.478 | success_rate=1.00 | q_states=68474
[Ep  11400/25000] reward=1.262 | eps=0.466 | success_rate=0.99 | q_states=68480
[Ep  11600/25000] reward=1.244 | eps=0.454 | success_rate=1.00 | q_states=68482
[Ep  11800/25000] reward=1.200 | eps=0.442 | success_rate=1.00 | q_states=68482
[Ep  12000/25000] reward=1.283 | eps=0.430 | success_rate=1.00 | q_states=68515
[Ep  12200/25000] reward=1.266 | eps=0.418 | success_rate=1.00 | q_states=68515
[Ep  12400/25000] reward=1.197 | eps=0.406 | success_rate=0.98 | q_states=68515
[Ep  12600/25000] reward=1.261 | eps=0.394 | success_rate=1.00 | q_states=68515
[Ep  12800/25000] reward=1.255 | eps=0.382 | success_rate=0.99 | q_states=68515
[Ep  13000/25000] reward=1.265 | eps=0.370 | success_rate=1.00 | q_states=68515
[Ep  13200/25000] reward=1.261 | eps=0.358 | success_rate=0.99 | q_states=68515
[Ep  13400/25000] reward=1.241 | eps=0.346 | success_rate=1.00 | q_states=68525
[Ep  13600/25000] reward=1.254 | eps=0.334 | success_rate=1.00 | q_states=68525
[Ep  13800/25000] reward=1.278 | eps=0.322 | success_rate=1.00 | q_states=68525
[Ep  14000/25000] reward=1.235 | eps=0.310 | success_rate=1.00 | q_states=68526
[Ep  14200/25000] reward=1.270 | eps=0.298 | success_rate=1.00 | q_states=68526
[Ep  14400/25000] reward=1.266 | eps=0.286 | success_rate=1.00 | q_states=68526
[Ep  14600/25000] reward=1.265 | eps=0.274 | success_rate=1.00 | q_states=68526
[Ep  14800/25000] reward=1.272 | eps=0.262 | success_rate=1.00 | q_states=68526
[Ep  15000/25000] reward=1.218 | eps=0.250 | success_rate=1.00 | q_states=68526
[Ep  15200/25000] reward=1.276 | eps=0.238 | success_rate=1.00 | q_states=68526
[Ep  15400/25000] reward=1.258 | eps=0.226 | success_rate=1.00 | q_states=68526
[Ep  15600/25000] reward=1.279 | eps=0.214 | success_rate=1.00 | q_states=68526
[Ep  15800/25000] reward=1.276 | eps=0.202 | success_rate=1.00 | q_states=68526
[Ep  16000/25000] reward=1.269 | eps=0.190 | success_rate=1.00 | q_states=68526
[Ep  16200/25000] reward=1.278 | eps=0.178 | success_rate=1.00 | q_states=68526
[Ep  16400/25000] reward=1.278 | eps=0.166 | success_rate=0.99 | q_states=68556
[Ep  16600/25000] reward=1.279 | eps=0.154 | success_rate=1.00 | q_states=68556
[Ep  16800/25000] reward=1.276 | eps=0.142 | success_rate=1.00 | q_states=68556
[Ep  17000/25000] reward=1.270 | eps=0.130 | success_rate=1.00 | q_states=68556
[Ep  17200/25000] reward=1.280 | eps=0.118 | success_rate=1.00 | q_states=68556
[Ep  17400/25000] reward=1.270 | eps=0.106 | success_rate=1.00 | q_states=68556
[Ep  17600/25000] reward=1.279 | eps=0.100 | success_rate=1.00 | q_states=68556
[Ep  17800/25000] reward=1.270 | eps=0.100 | success_rate=0.99 | q_states=68556
[Ep  18000/25000] reward=1.268 | eps=0.100 | success_rate=1.00 | q_states=68556
[Ep  18200/25000] reward=1.269 | eps=0.100 | success_rate=1.00 | q_states=68556
[Ep  18400/25000] reward=1.268 | eps=0.100 | success_rate=1.00 | q_states=68556
[Ep  18600/25000] reward=1.262 | eps=0.100 | success_rate=1.00 | q_states=68556
[Ep  18800/25000] reward=1.276 | eps=0.100 | success_rate=1.00 | q_states=68556
[Ep  19000/25000] reward=1.268 | eps=0.100 | success_rate=1.00 | q_states=68556
[Ep  19200/25000] reward=1.269 | eps=0.100 | success_rate=1.00 | q_states=68556
[Ep  19400/25000] reward=1.268 | eps=0.100 | success_rate=1.00 | q_states=68556
[Ep  19600/25000] reward=1.272 | eps=0.100 | success_rate=0.99 | q_states=68556
[Ep  19800/25000] reward=1.276 | eps=0.100 | success_rate=0.97 | q_states=68556
[Ep  20000/25000] reward=1.272 | eps=0.100 | success_rate=0.97 | q_states=68556
[Ep  20200/25000] reward=1.272 | eps=0.100 | success_rate=0.94 | q_states=68568
[Ep  20400/25000] reward=1.272 | eps=0.100 | success_rate=0.96 | q_states=68568
[Ep  20600/25000] reward=1.280 | eps=0.100 | success_rate=0.98 | q_states=68568
[Ep  20800/25000] reward=0.445 | eps=0.100 | success_rate=0.98 | q_states=68568
[Ep  21000/25000] reward=1.272 | eps=0.100 | success_rate=0.98 | q_states=68568
[Ep  21200/25000] reward=1.276 | eps=0.100 | success_rate=0.96 | q_states=68568
[Ep  21400/25000] reward=1.275 | eps=0.100 | success_rate=0.97 | q_states=68568
[Ep  21600/25000] reward=1.272 | eps=0.100 | success_rate=0.99 | q_states=68580
[Ep  21800/25000] reward=1.272 | eps=0.100 | success_rate=0.97 | q_states=68583
[Ep  22000/25000] reward=1.223 | eps=0.100 | success_rate=0.97 | q_states=68584
[Ep  22200/25000] reward=1.275 | eps=0.100 | success_rate=1.00 | q_states=68584
[Ep  22400/25000] reward=1.272 | eps=0.100 | success_rate=0.99 | q_states=68590
[Ep  22600/25000] reward=1.280 | eps=0.100 | success_rate=0.96 | q_states=68590
[Ep  22800/25000] reward=1.270 | eps=0.100 | success_rate=0.99 | q_states=68590
[Ep  23000/25000] reward=1.265 | eps=0.100 | success_rate=0.98 | q_states=68590
[Ep  23200/25000] reward=1.275 | eps=0.100 | success_rate=0.94 | q_states=68618
[Ep  23400/25000] reward=1.272 | eps=0.100 | success_rate=0.99 | q_states=68618
[Ep  23600/25000] reward=1.272 | eps=0.100 | success_rate=0.99 | q_states=68618
[Ep  23800/25000] reward=1.255 | eps=0.100 | success_rate=1.00 | q_states=68618
[Ep  24000/25000] reward=1.266 | eps=0.100 | success_rate=1.00 | q_states=68618
[Ep  24200/25000] reward=1.279 | eps=0.100 | success_rate=1.00 | q_states=68618
[Ep  24400/25000] reward=1.275 | eps=0.100 | success_rate=1.00 | q_states=68618
[Ep  24600/25000] reward=1.270 | eps=0.100 | success_rate=1.00 | q_states=68618
[Ep  24800/25000] reward=1.266 | eps=0.100 | success_rate=1.00 | q_states=68618
[Ep  24999/25000] reward=1.282 | eps=0.100 | success_rate=1.00 | q_states=68618
