[Ep      0/25000] reward=0.080 | eps=1.000 | success_rate=0.00 | q_states=45
[Ep    200/25000] reward=0.075 | eps=1.000 | success_rate=0.01 | q_states=10601
[Ep    400/25000] reward=0.000 | eps=1.000 | success_rate=0.01 | q_states=16342
[Ep    600/25000] reward=0.069 | eps=1.000 | success_rate=0.06 | q_states=19813
[Ep    800/25000] reward=0.590 | eps=1.000 | success_rate=0.05 | q_states=22479
[Ep   1000/25000] reward=0.075 | eps=1.000 | success_rate=0.05 | q_states=24542
[Ep   1200/25000] reward=-0.000 | eps=1.000 | success_rate=0.02 | q_states=25764
[Ep   1400/25000] reward=0.075 | eps=1.000 | success_rate=0.02 | q_states=26786
[Ep   1600/25000] reward=0.175 | eps=1.000 | success_rate=0.03 | q_states=27674
[Ep   1800/25000] reward=0.000 | eps=1.000 | success_rate=0.06 | q_states=28819
[Ep   2000/25000] reward=0.030 | eps=1.000 | success_rate=0.01 | q_states=29979
[Ep   2200/25000] reward=0.000 | eps=1.000 | success_rate=0.01 | q_states=30823
[Ep   2400/25000] reward=-0.000 | eps=1.000 | success_rate=0.00 | q_states=31523
[Ep   2600/25000] reward=0.000 | eps=0.996 | success_rate=0.02 | q_states=32126
[Ep 2683] Run terminato da Hyperband.
