[Ep     0/10000] reward=0.000 | eps=1.000 | success_rate=0.00 | q_states=41
[Ep   200/10000] reward=0.000 | eps=1.000 | success_rate=0.07 | q_states=1727
[Ep   400/10000] reward=0.000 | eps=1.000 | success_rate=0.02 | q_states=2237
[Ep   600/10000] reward=0.000 | eps=0.988 | success_rate=0.04 | q_states=2549
[Ep   800/10000] reward=0.000 | eps=0.964 | success_rate=0.08 | q_states=2997
[Ep  1000/10000] reward=0.000 | eps=0.940 | success_rate=0.09 | q_states=3278
[Ep  1200/10000] reward=0.000 | eps=0.916 | success_rate=0.15 | q_states=3563
[Ep  1400/10000] reward=0.000 | eps=0.892 | success_rate=0.17 | q_states=3807
[Ep  1600/10000] reward=0.000 | eps=0.868 | success_rate=0.36 | q_states=3981
[Ep  1800/10000] reward=0.000 | eps=0.844 | success_rate=0.41 | q_states=4229
[Ep  2000/10000] reward=0.432 | eps=0.820 | success_rate=0.57 | q_states=4372
[Ep  2200/10000] reward=0.742 | eps=0.796 | success_rate=0.66 | q_states=4472
[Ep  2400/10000] reward=0.810 | eps=0.772 | success_rate=0.84 | q_states=4647
[Ep  2600/10000] reward=0.000 | eps=0.748 | success_rate=0.84 | q_states=4765
[Ep  2800/10000] reward=0.752 | eps=0.724 | success_rate=0.87 | q_states=4856
[Ep  3000/10000] reward=0.703 | eps=0.700 | success_rate=0.86 | q_states=4884
[Ep  3200/10000] reward=0.000 | eps=0.676 | success_rate=0.80 | q_states=4894
[Ep  3400/10000] reward=0.925 | eps=0.652 | success_rate=0.82 | q_states=4899
[Ep  3600/10000] reward=0.000 | eps=0.628 | success_rate=0.79 | q_states=4951
[Ep  3800/10000] reward=0.000 | eps=0.604 | success_rate=0.81 | q_states=4951
[Ep  4000/10000] reward=0.897 | eps=0.580 | success_rate=0.89 | q_states=4953
[Ep  4200/10000] reward=0.907 | eps=0.556 | success_rate=0.82 | q_states=4958
[Ep  4400/10000] reward=0.910 | eps=0.532 | success_rate=0.88 | q_states=4958
[Ep  4600/10000] reward=0.960 | eps=0.508 | success_rate=0.92 | q_states=4958
[Ep  4800/10000] reward=0.830 | eps=0.484 | success_rate=0.97 | q_states=4958
[Ep  5000/10000] reward=0.927 | eps=0.460 | success_rate=0.99 | q_states=4974
[Ep  5200/10000] reward=0.912 | eps=0.436 | success_rate=0.98 | q_states=4976
[Ep  5400/10000] reward=0.915 | eps=0.412 | success_rate=0.99 | q_states=4986
[Ep  5600/10000] reward=0.927 | eps=0.388 | success_rate=1.00 | q_states=4986
[Ep  5800/10000] reward=0.940 | eps=0.364 | success_rate=1.00 | q_states=4986
[Ep  6000/10000] reward=0.943 | eps=0.340 | success_rate=1.00 | q_states=4986
[Ep  6200/10000] reward=0.948 | eps=0.316 | success_rate=1.00 | q_states=5022
[Ep  6400/10000] reward=0.968 | eps=0.292 | success_rate=1.00 | q_states=5022
[Ep  6600/10000] reward=0.965 | eps=0.268 | success_rate=1.00 | q_states=5022
[Ep  6800/10000] reward=0.948 | eps=0.244 | success_rate=1.00 | q_states=5022
[Ep  7000/10000] reward=0.965 | eps=0.220 | success_rate=1.00 | q_states=5022
[Ep  7200/10000] reward=0.927 | eps=0.196 | success_rate=1.00 | q_states=5022
[Ep  7400/10000] reward=0.968 | eps=0.172 | success_rate=1.00 | q_states=5022
[Ep  7600/10000] reward=0.958 | eps=0.148 | success_rate=1.00 | q_states=5022
[Ep  7800/10000] reward=0.968 | eps=0.124 | success_rate=1.00 | q_states=5022
[Ep  8000/10000] reward=0.950 | eps=0.100 | success_rate=1.00 | q_states=5022
[Ep  8200/10000] reward=0.975 | eps=0.100 | success_rate=1.00 | q_states=5022
[Ep  8400/10000] reward=0.958 | eps=0.100 | success_rate=1.00 | q_states=5022
[Ep  8600/10000] reward=0.955 | eps=0.100 | success_rate=1.00 | q_states=5022
[Ep  8800/10000] reward=0.958 | eps=0.100 | success_rate=1.00 | q_states=5022
[Ep  9000/10000] reward=0.950 | eps=0.100 | success_rate=1.00 | q_states=5022
[Ep  9200/10000] reward=0.970 | eps=0.100 | success_rate=1.00 | q_states=5022
[Ep  9400/10000] reward=0.958 | eps=0.100 | success_rate=1.00 | q_states=5022
[Ep  9600/10000] reward=0.963 | eps=0.100 | success_rate=1.00 | q_states=5022
[Ep  9800/10000] reward=0.975 | eps=0.100 | success_rate=1.00 | q_states=5022
[Ep  9999/10000] reward=0.940 | eps=0.100 | success_rate=1.00 | q_states=5022
