[Ep     0/12000] reward=0.000 | eps=1.000 | success_rate=0.00 | q_states=70
[Ep   200/12000] reward=0.000 | eps=1.000 | success_rate=0.03 | q_states=10560
[Ep   400/12000] reward=0.000 | eps=1.000 | success_rate=0.01 | q_states=16163
[Ep   600/12000] reward=0.000 | eps=1.000 | success_rate=0.01 | q_states=19764
[Ep   800/12000] reward=0.000 | eps=1.000 | success_rate=0.02 | q_states=22013
[Ep  1000/12000] reward=0.000 | eps=1.000 | success_rate=0.02 | q_states=24101
[Ep  1200/12000] reward=0.000 | eps=1.000 | success_rate=0.02 | q_states=25308
[Ep  1400/12000] reward=0.000 | eps=0.981 | success_rate=0.00 | q_states=26325
[Ep  1600/12000] reward=0.000 | eps=0.963 | success_rate=0.02 | q_states=27359
[Ep  1800/12000] reward=0.000 | eps=0.944 | success_rate=0.03 | q_states=28035
[Ep  2000/12000] reward=0.000 | eps=0.925 | success_rate=0.08 | q_states=28975
[Ep  2200/12000] reward=0.000 | eps=0.907 | success_rate=0.02 | q_states=29385
[Ep  2400/12000] reward=0.000 | eps=0.888 | success_rate=0.02 | q_states=30093
[Ep  2600/12000] reward=0.000 | eps=0.870 | success_rate=0.01 | q_states=30855
[Ep  2800/12000] reward=0.000 | eps=0.851 | success_rate=0.03 | q_states=31460
[Ep  3000/12000] reward=0.000 | eps=0.832 | success_rate=0.01 | q_states=31871
[Ep  3200/12000] reward=0.000 | eps=0.814 | success_rate=0.05 | q_states=32348
[Ep  3400/12000] reward=0.000 | eps=0.795 | success_rate=0.00 | q_states=32904
[Ep  3600/12000] reward=0.000 | eps=0.776 | success_rate=0.02 | q_states=33245
[Ep  3800/12000] reward=0.000 | eps=0.758 | success_rate=0.02 | q_states=33628
[Ep  4000/12000] reward=0.000 | eps=0.739 | success_rate=0.00 | q_states=33968
[Ep  4200/12000] reward=0.000 | eps=0.721 | success_rate=0.02 | q_states=34312
[Ep  4400/12000] reward=0.000 | eps=0.702 | success_rate=0.02 | q_states=34682
[Ep  4600/12000] reward=0.000 | eps=0.683 | success_rate=0.01 | q_states=34906
[Ep  4800/12000] reward=0.000 | eps=0.665 | success_rate=0.01 | q_states=35109
[Ep  5000/12000] reward=0.000 | eps=0.646 | success_rate=0.03 | q_states=35379
[Ep  5200/12000] reward=0.414 | eps=0.627 | success_rate=0.02 | q_states=35570
[Ep  5400/12000] reward=0.000 | eps=0.609 | success_rate=0.00 | q_states=35887
[Ep  5600/12000] reward=0.000 | eps=0.590 | success_rate=0.00 | q_states=36099
[Ep  5800/12000] reward=0.000 | eps=0.572 | success_rate=0.00 | q_states=36313
[Ep  6000/12000] reward=0.000 | eps=0.553 | success_rate=0.00 | q_states=36471
[Ep  6200/12000] reward=0.000 | eps=0.534 | success_rate=0.00 | q_states=36565
[Ep  6400/12000] reward=0.000 | eps=0.516 | success_rate=0.01 | q_states=36835
[Ep  6600/12000] reward=0.000 | eps=0.497 | success_rate=0.00 | q_states=36919
[Ep  6800/12000] reward=0.000 | eps=0.478 | success_rate=0.00 | q_states=36970
[Ep  7000/12000] reward=0.000 | eps=0.460 | success_rate=0.00 | q_states=37049
[Ep  7200/12000] reward=0.000 | eps=0.441 | success_rate=0.00 | q_states=37230
[Ep  7400/12000] reward=0.000 | eps=0.423 | success_rate=0.00 | q_states=37282
[Ep  7600/12000] reward=0.000 | eps=0.404 | success_rate=0.01 | q_states=37379
[Ep  7800/12000] reward=0.000 | eps=0.385 | success_rate=0.00 | q_states=37594
[Ep  8000/12000] reward=0.000 | eps=0.367 | success_rate=0.00 | q_states=37669
[Ep  8200/12000] reward=0.000 | eps=0.348 | success_rate=0.00 | q_states=37699
[Ep  8400/12000] reward=0.000 | eps=0.329 | success_rate=0.00 | q_states=37731
[Ep  8600/12000] reward=0.000 | eps=0.311 | success_rate=0.00 | q_states=37764
[Ep  8800/12000] reward=0.000 | eps=0.292 | success_rate=0.00 | q_states=37773
[Ep  9000/12000] reward=0.000 | eps=0.274 | success_rate=0.00 | q_states=37786
[Ep  9200/12000] reward=0.000 | eps=0.255 | success_rate=0.00 | q_states=37793
[Ep  9400/12000] reward=0.000 | eps=0.236 | success_rate=0.00 | q_states=37829
[Ep  9600/12000] reward=0.000 | eps=0.218 | success_rate=0.00 | q_states=37843
[Ep  9800/12000] reward=0.000 | eps=0.199 | success_rate=0.00 | q_states=37878
[Ep 10000/12000] reward=0.000 | eps=0.180 | success_rate=0.00 | q_states=37886
[Ep 10200/12000] reward=0.000 | eps=0.162 | success_rate=0.00 | q_states=37903
[Ep 10400/12000] reward=0.000 | eps=0.143 | success_rate=0.00 | q_states=37927
[Ep 10600/12000] reward=0.000 | eps=0.125 | success_rate=0.00 | q_states=37927
[Ep 10800/12000] reward=0.000 | eps=0.106 | success_rate=0.00 | q_states=37935
[Ep 11000/12000] reward=0.000 | eps=0.087 | success_rate=0.00 | q_states=37935
[Ep 11200/12000] reward=0.000 | eps=0.069 | success_rate=0.00 | q_states=37935
[Ep 11400/12000] reward=0.000 | eps=0.050 | success_rate=0.00 | q_states=37935
[Ep 11600/12000] reward=0.000 | eps=0.050 | success_rate=0.00 | q_states=37935
[Ep 11800/12000] reward=0.000 | eps=0.050 | success_rate=0.00 | q_states=37935
[Ep 11999/12000] reward=0.000 | eps=0.050 | success_rate=0.00 | q_states=37935
