[Ep      0/15000] raw_rew=0.00 | eps=1.000 | success=0.00 | states=38
[Ep    200/15000] raw_rew=0.00 | eps=1.000 | success=0.01 | states=10346
[Ep    400/15000] raw_rew=0.00 | eps=1.000 | success=0.04 | states=16476
[Ep    600/15000] raw_rew=0.00 | eps=1.000 | success=0.02 | states=20055
[Ep    800/15000] raw_rew=0.00 | eps=1.000 | success=0.02 | states=22511
[Ep   1000/15000] raw_rew=0.00 | eps=1.000 | success=0.03 | states=24109
[Ep   1200/15000] raw_rew=0.00 | eps=1.000 | success=0.01 | states=25553
[Ep   1400/15000] raw_rew=0.00 | eps=1.000 | success=0.04 | states=26861
[Ep   1600/15000] raw_rew=0.00 | eps=1.000 | success=0.01 | states=28051
[Ep   1800/15000] raw_rew=0.00 | eps=1.000 | success=0.02 | states=28993
[Ep   2000/15000] raw_rew=0.00 | eps=1.000 | success=0.03 | states=29681
[Ep   2200/15000] raw_rew=0.51 | eps=1.000 | success=0.04 | states=30142
[Ep   2400/15000] raw_rew=0.00 | eps=1.000 | success=0.02 | states=31052
[Ep   2600/15000] raw_rew=0.00 | eps=1.000 | success=0.02 | states=31799
[Ep   2800/15000] raw_rew=0.00 | eps=1.000 | success=0.00 | states=32461
[Ep   3000/15000] raw_rew=0.00 | eps=1.000 | success=0.02 | states=32955
[Ep   3200/15000] raw_rew=0.00 | eps=1.000 | success=0.05 | states=33751
[Ep   3400/15000] raw_rew=0.00 | eps=1.000 | success=0.01 | states=34351
[Ep   3600/15000] raw_rew=0.00 | eps=1.000 | success=0.02 | states=34858
[Ep   3800/15000] raw_rew=0.00 | eps=0.996 | success=0.00 | states=35581
[Ep   4000/15000] raw_rew=0.00 | eps=0.982 | success=0.06 | states=36149
[Ep   4200/15000] raw_rew=0.00 | eps=0.968 | success=0.14 | states=37413
[Ep   4400/15000] raw_rew=0.00 | eps=0.954 | success=0.15 | states=39165
[Ep   4600/15000] raw_rew=0.00 | eps=0.940 | success=0.20 | states=41539
[Ep   4800/15000] raw_rew=0.00 | eps=0.926 | success=0.34 | states=44339
[Ep   5000/15000] raw_rew=0.00 | eps=0.912 | success=0.51 | states=47633
[Ep   5200/15000] raw_rew=0.29 | eps=0.898 | success=0.49 | states=50927
[Ep   5400/15000] raw_rew=0.41 | eps=0.884 | success=0.70 | states=54267
[Ep   5600/15000] raw_rew=0.00 | eps=0.869 | success=0.76 | states=57020
[Ep   5800/15000] raw_rew=0.51 | eps=0.855 | success=0.87 | states=59010
[Ep   6000/15000] raw_rew=0.73 | eps=0.841 | success=0.92 | states=60537
[Ep   6200/15000] raw_rew=0.60 | eps=0.827 | success=0.93 | states=61879
[Ep   6400/15000] raw_rew=0.76 | eps=0.813 | success=0.96 | states=62867
[Ep   6600/15000] raw_rew=0.87 | eps=0.799 | success=0.97 | states=63857
[Ep   6800/15000] raw_rew=0.95 | eps=0.785 | success=0.98 | states=64744
[Ep   7000/15000] raw_rew=0.84 | eps=0.771 | success=0.99 | states=65424
[Ep   7200/15000] raw_rew=0.72 | eps=0.756 | success=0.97 | states=66089
[Ep   7400/15000] raw_rew=0.91 | eps=0.742 | success=0.97 | states=66703
[Ep   7600/15000] raw_rew=0.82 | eps=0.728 | success=0.99 | states=67094
[Ep   7800/15000] raw_rew=0.85 | eps=0.714 | success=1.00 | states=67247
[Ep   8000/15000] raw_rew=0.87 | eps=0.700 | success=0.99 | states=67529
[Ep   8200/15000] raw_rew=0.93 | eps=0.686 | success=1.00 | states=67800
[Ep   8400/15000] raw_rew=0.84 | eps=0.672 | success=1.00 | states=68073
[Ep   8600/15000] raw_rew=0.85 | eps=0.658 | success=1.00 | states=68165
[Ep   8800/15000] raw_rew=0.91 | eps=0.644 | success=1.00 | states=68393
[Ep   9000/15000] raw_rew=0.86 | eps=0.629 | success=1.00 | states=68496
[Ep   9200/15000] raw_rew=0.94 | eps=0.615 | success=1.00 | states=68580
[Ep   9400/15000] raw_rew=0.89 | eps=0.601 | success=1.00 | states=68634
[Ep   9600/15000] raw_rew=0.88 | eps=0.587 | success=1.00 | states=68751
[Ep   9800/15000] raw_rew=0.93 | eps=0.573 | success=1.00 | states=68796
[Ep  10000/15000] raw_rew=0.94 | eps=0.559 | success=1.00 | states=68830
[Ep  10200/15000] raw_rew=0.91 | eps=0.545 | success=1.00 | states=68963
[Ep  10400/15000] raw_rew=0.94 | eps=0.531 | success=1.00 | states=69062
[Ep  10600/15000] raw_rew=0.93 | eps=0.516 | success=1.00 | states=69069
[Ep  10800/15000] raw_rew=0.96 | eps=0.502 | success=1.00 | states=69073
[Ep  11000/15000] raw_rew=0.96 | eps=0.488 | success=1.00 | states=69126
[Ep  11200/15000] raw_rew=0.96 | eps=0.474 | success=1.00 | states=69134
