[Ep      0/6000] raw_rew=0.00 | eps=1.000 | success=0.00 | states=49
[Ep    200/6000] raw_rew=0.00 | eps=1.000 | success=0.03 | states=10425
[Ep    400/6000] raw_rew=0.00 | eps=0.980 | success=0.01 | states=16734
[Ep    600/6000] raw_rew=0.00 | eps=0.940 | success=0.06 | states=21984
[Ep    800/6000] raw_rew=0.00 | eps=0.900 | success=0.21 | states=27518
[Ep   1000/6000] raw_rew=0.23 | eps=0.860 | success=0.49 | states=33215
[Ep   1200/6000] raw_rew=0.71 | eps=0.820 | success=0.79 | states=37662
[Ep   1400/6000] raw_rew=0.85 | eps=0.780 | success=0.92 | states=40404
[Ep   1600/6000] raw_rew=0.49 | eps=0.740 | success=0.95 | states=42343
[Ep   1800/6000] raw_rew=0.86 | eps=0.700 | success=0.95 | states=44185
[Ep   2000/6000] raw_rew=0.89 | eps=0.660 | success=0.96 | states=45213
[Ep   2200/6000] raw_rew=0.95 | eps=0.620 | success=0.98 | states=46132
[Ep   2400/6000] raw_rew=0.96 | eps=0.580 | success=0.99 | states=46727
[Ep   2600/6000] raw_rew=0.87 | eps=0.540 | success=0.98 | states=47246
[Ep   2800/6000] raw_rew=0.94 | eps=0.500 | success=1.00 | states=47686
[Ep   3000/6000] raw_rew=0.96 | eps=0.460 | success=0.99 | states=47811
[Ep   3200/6000] raw_rew=0.96 | eps=0.420 | success=1.00 | states=47878
[Ep   3400/6000] raw_rew=0.97 | eps=0.380 | success=1.00 | states=47962
[Ep   3600/6000] raw_rew=0.97 | eps=0.340 | success=1.00 | states=48013
[Ep   3800/6000] raw_rew=0.75 | eps=0.300 | success=1.00 | states=48087
[Ep   4000/6000] raw_rew=0.96 | eps=0.260 | success=0.99 | states=48140
[Ep   4200/6000] raw_rew=0.96 | eps=0.220 | success=1.00 | states=48164
[Ep   4400/6000] raw_rew=0.98 | eps=0.180 | success=1.00 | states=48201
[Ep   4600/6000] raw_rew=0.98 | eps=0.140 | success=0.99 | states=48232
[Ep   4800/6000] raw_rew=0.97 | eps=0.100 | success=0.98 | states=48250
[Ep   5000/6000] raw_rew=0.96 | eps=0.100 | success=0.96 | states=48271
[Ep   5200/6000] raw_rew=0.98 | eps=0.100 | success=1.00 | states=48309
[Ep   5400/6000] raw_rew=0.98 | eps=0.100 | success=0.99 | states=48334
[Ep   5600/6000] raw_rew=0.97 | eps=0.100 | success=0.99 | states=48355
[Ep   5800/6000] raw_rew=0.96 | eps=0.100 | success=1.00 | states=48385
[Ep   5999/6000] raw_rew=0.98 | eps=0.100 | success=1.00 | states=48397
