[Ep      0/6000] raw_rew=0.00 | eps=1.000 | success=0.00 | states=66
[Ep    200/6000] raw_rew=0.00 | eps=1.000 | success=0.03 | states=10096
[Ep    400/6000] raw_rew=0.27 | eps=1.000 | success=0.01 | states=15884
[Ep    600/6000] raw_rew=0.00 | eps=1.000 | success=0.04 | states=19488
[Ep    800/6000] raw_rew=0.00 | eps=1.000 | success=0.05 | states=22467
[Ep   1000/6000] raw_rew=0.00 | eps=0.960 | success=0.06 | states=25082
[Ep   1200/6000] raw_rew=0.00 | eps=0.881 | success=0.37 | states=30075
[Ep   1400/6000] raw_rew=0.84 | eps=0.802 | success=0.78 | states=35243
[Ep   1600/6000] raw_rew=0.91 | eps=0.723 | success=0.91 | states=38599
[Ep   1800/6000] raw_rew=0.90 | eps=0.644 | success=0.96 | states=40592
[Ep   2000/6000] raw_rew=0.92 | eps=0.565 | success=0.99 | states=41719
[Ep   2200/6000] raw_rew=0.96 | eps=0.485 | success=1.00 | states=42100
[Ep   2400/6000] raw_rew=0.97 | eps=0.406 | success=0.99 | states=42371
[Ep   2600/6000] raw_rew=0.96 | eps=0.327 | success=0.98 | states=42579
[Ep   2800/6000] raw_rew=0.97 | eps=0.248 | success=0.99 | states=42694
[Ep   3000/6000] raw_rew=0.97 | eps=0.169 | success=1.00 | states=42737
[Ep   3200/6000] raw_rew=0.90 | eps=0.090 | success=0.98 | states=42763
[Ep   3400/6000] raw_rew=0.98 | eps=0.050 | success=0.96 | states=42778
[Ep   3600/6000] raw_rew=0.98 | eps=0.050 | success=0.95 | states=42802
[Ep   3800/6000] raw_rew=0.96 | eps=0.050 | success=0.96 | states=42819
[Ep   4000/6000] raw_rew=0.97 | eps=0.050 | success=0.98 | states=42829
[Ep   4200/6000] raw_rew=0.97 | eps=0.050 | success=0.96 | states=42835
[Ep   4400/6000] raw_rew=0.97 | eps=0.050 | success=0.96 | states=42850
[Ep   4600/6000] raw_rew=0.98 | eps=0.050 | success=0.96 | states=42863
[Ep   4800/6000] raw_rew=0.97 | eps=0.050 | success=1.00 | states=42877
[Ep   5000/6000] raw_rew=0.95 | eps=0.050 | success=0.97 | states=42889
[Ep   5200/6000] raw_rew=0.98 | eps=0.050 | success=0.99 | states=42897
[Ep   5400/6000] raw_rew=0.98 | eps=0.050 | success=0.97 | states=42924
[Ep   5600/6000] raw_rew=0.98 | eps=0.050 | success=0.96 | states=42937
[Ep   5800/6000] raw_rew=0.97 | eps=0.050 | success=0.97 | states=42940
[Ep   5999/6000] raw_rew=0.98 | eps=0.050 | success=0.96 | states=42964
