[Ep      0/6000] raw_rew=0.00 | eps=1.000 | success=0.00 | states=19
[Ep    200/6000] raw_rew=0.00 | eps=1.000 | success=0.02 | states=10183
[Ep    400/6000] raw_rew=0.00 | eps=1.000 | success=0.01 | states=16033
[Ep    600/6000] raw_rew=0.00 | eps=1.000 | success=0.02 | states=19664
[Ep    800/6000] raw_rew=0.00 | eps=1.000 | success=0.02 | states=22401
[Ep   1000/6000] raw_rew=0.31 | eps=0.960 | success=0.07 | states=24730
[Ep   1200/6000] raw_rew=0.30 | eps=0.881 | success=0.28 | states=30154
[Ep   1400/6000] raw_rew=0.76 | eps=0.802 | success=0.72 | states=35614
[Ep   1600/6000] raw_rew=0.90 | eps=0.723 | success=0.87 | states=39755
[Ep   1800/6000] raw_rew=0.80 | eps=0.644 | success=0.93 | states=41528
[Ep   2000/6000] raw_rew=0.95 | eps=0.565 | success=0.99 | states=42436
[Ep   2200/6000] raw_rew=0.96 | eps=0.485 | success=0.99 | states=42720
[Ep   2400/6000] raw_rew=0.97 | eps=0.406 | success=0.99 | states=42973
[Ep   2600/6000] raw_rew=0.97 | eps=0.327 | success=0.99 | states=43133
[Ep   2800/6000] raw_rew=0.97 | eps=0.248 | success=1.00 | states=43201
[Ep   3000/6000] raw_rew=0.97 | eps=0.169 | success=1.00 | states=43248
[Ep   3200/6000] raw_rew=0.97 | eps=0.090 | success=0.99 | states=43281
[Ep   3400/6000] raw_rew=0.98 | eps=0.050 | success=0.97 | states=43296
[Ep   3600/6000] raw_rew=0.73 | eps=0.050 | success=0.99 | states=43333
[Ep   3800/6000] raw_rew=0.00 | eps=0.050 | success=0.96 | states=43363
[Ep   4000/6000] raw_rew=0.97 | eps=0.050 | success=1.00 | states=43378
[Ep   4200/6000] raw_rew=0.97 | eps=0.050 | success=0.98 | states=43393
[Ep   4400/6000] raw_rew=0.98 | eps=0.050 | success=0.97 | states=43403
[Ep   4600/6000] raw_rew=0.98 | eps=0.050 | success=0.97 | states=43414
[Ep   4800/6000] raw_rew=0.97 | eps=0.050 | success=0.98 | states=43435
[Ep   5000/6000] raw_rew=0.97 | eps=0.050 | success=0.95 | states=43470
[Ep   5200/6000] raw_rew=0.98 | eps=0.050 | success=1.00 | states=43493
[Ep   5400/6000] raw_rew=0.98 | eps=0.050 | success=0.99 | states=43506
[Ep   5600/6000] raw_rew=0.97 | eps=0.050 | success=0.98 | states=43553
[Ep   5800/6000] raw_rew=0.97 | eps=0.050 | success=0.98 | states=43557
[Ep   5999/6000] raw_rew=0.98 | eps=0.050 | success=0.98 | states=43607
