[Ep      0/6000] raw_rew=0.00 | eps=1.000 | success=0.00 | states=56
[Ep    200/6000] raw_rew=0.00 | eps=1.000 | success=0.03 | states=10561
[Ep    400/6000] raw_rew=0.00 | eps=0.963 | success=0.02 | states=15984
[Ep    600/6000] raw_rew=0.39 | eps=0.887 | success=0.21 | states=22399
[Ep    800/6000] raw_rew=0.00 | eps=0.812 | success=0.57 | states=29126
[Ep   1000/6000] raw_rew=0.61 | eps=0.738 | success=0.85 | states=34039
[Ep   1200/6000] raw_rew=0.92 | eps=0.662 | success=0.93 | states=36689
[Ep   1400/6000] raw_rew=0.00 | eps=0.588 | success=0.94 | states=38197
[Ep   1600/6000] raw_rew=0.87 | eps=0.512 | success=0.98 | states=39125
[Ep   1800/6000] raw_rew=0.95 | eps=0.438 | success=1.00 | states=39846
[Ep   2000/6000] raw_rew=0.95 | eps=0.362 | success=0.96 | states=40267
[Ep   2200/6000] raw_rew=0.98 | eps=0.287 | success=0.98 | states=40457
[Ep   2400/6000] raw_rew=0.97 | eps=0.213 | success=0.97 | states=40578
[Ep   2600/6000] raw_rew=0.97 | eps=0.137 | success=0.97 | states=40628
[Ep   2800/6000] raw_rew=0.98 | eps=0.100 | success=0.95 | states=40671
[Ep   3000/6000] raw_rew=0.00 | eps=0.100 | success=0.98 | states=40731
[Ep   3200/6000] raw_rew=0.98 | eps=0.100 | success=0.99 | states=40765
[Ep   3400/6000] raw_rew=0.98 | eps=0.100 | success=0.99 | states=40799
[Ep   3600/6000] raw_rew=0.98 | eps=0.100 | success=0.98 | states=40859
[Ep   3800/6000] raw_rew=0.81 | eps=0.100 | success=0.99 | states=40943
[Ep   4000/6000] raw_rew=0.97 | eps=0.100 | success=0.98 | states=40961
[Ep   4200/6000] raw_rew=0.97 | eps=0.100 | success=0.98 | states=41018
[Ep   4400/6000] raw_rew=0.98 | eps=0.100 | success=0.95 | states=41083
[Ep   4600/6000] raw_rew=0.97 | eps=0.100 | success=0.97 | states=41135
[Ep   4800/6000] raw_rew=0.97 | eps=0.100 | success=0.96 | states=41205
[Ep   5000/6000] raw_rew=0.97 | eps=0.100 | success=0.97 | states=41292
[Ep   5200/6000] raw_rew=0.97 | eps=0.100 | success=0.97 | states=41337
[Ep   5400/6000] raw_rew=0.98 | eps=0.100 | success=0.98 | states=41364
[Ep   5600/6000] raw_rew=0.98 | eps=0.100 | success=0.98 | states=41406
[Ep   5800/6000] raw_rew=0.97 | eps=0.100 | success=1.00 | states=41448
[Ep   5999/6000] raw_rew=0.98 | eps=0.100 | success=0.98 | states=41524
