[Ep      0/6000] raw_rew=0.00 | eps=1.000 | success=0.00 | states=44
[Ep    500/6000] raw_rew=0.00 | eps=1.000 | success=0.02 | states=18780
[Ep   1000/6000] raw_rew=0.00 | eps=1.000 | success=0.03 | states=25090
[Ep   1500/6000] raw_rew=0.64 | eps=0.300 | success=0.04 | states=28000
[Ep   2000/6000] raw_rew=0.81 | eps=0.300 | success=1.00 | states=35436
[Ep   2500/6000] raw_rew=0.95 | eps=0.300 | success=1.00 | states=39047
[Ep   3000/6000] raw_rew=0.96 | eps=0.090 | success=1.00 | states=41803
[Ep   3500/6000] raw_rew=0.98 | eps=0.090 | success=1.00 | states=42409
[Ep   4000/6000] raw_rew=0.97 | eps=0.090 | success=1.00 | states=42713
[Ep   4500/6000] raw_rew=0.96 | eps=0.050 | success=1.00 | states=42966
[Ep   5000/6000] raw_rew=0.97 | eps=0.050 | success=1.00 | states=43008
[Ep   5500/6000] raw_rew=0.95 | eps=0.050 | success=1.00 | states=43057
[Ep   5999/6000] raw_rew=0.98 | eps=0.050 | success=1.00 | states=43143
