[Ep      0/6000] raw_rew=0.00 | eps=1.000 | success=0.00 | states=49
[Ep    500/6000] raw_rew=0.00 | eps=1.000 | success=0.01 | states=17685
[Ep   1000/6000] raw_rew=0.00 | eps=1.000 | success=0.01 | states=23848
[Ep   1500/6000] raw_rew=0.00 | eps=0.700 | success=0.93 | states=34870
[Ep   2000/6000] raw_rew=0.90 | eps=0.700 | success=0.98 | states=42157
[Ep   2500/6000] raw_rew=0.95 | eps=0.490 | success=1.00 | states=45080
[Ep   3000/6000] raw_rew=0.92 | eps=0.490 | success=1.00 | states=45825
[Ep   3500/6000] raw_rew=0.97 | eps=0.490 | success=1.00 | states=46644
[Ep   4000/6000] raw_rew=0.96 | eps=0.343 | success=1.00 | states=46986
[Ep   4500/6000] raw_rew=0.95 | eps=0.343 | success=1.00 | states=47089
[Ep   5000/6000] raw_rew=0.96 | eps=0.240 | success=1.00 | states=47252
[Ep   5500/6000] raw_rew=0.96 | eps=0.240 | success=1.00 | states=47305
[Ep   5999/6000] raw_rew=0.96 | eps=0.240 | success=1.00 | states=47351
