[Ep      0/6000] raw_rew=0.00 | eps=1.000 | success=0.00 | states=42
[Ep    500/6000] raw_rew=0.00 | eps=1.000 | success=0.01 | states=18172
[Ep   1000/6000] raw_rew=0.00 | eps=1.000 | success=0.03 | states=24010
[Ep   1500/6000] raw_rew=0.77 | eps=0.500 | success=0.98 | states=32411
[Ep   2000/6000] raw_rew=0.93 | eps=0.500 | success=1.00 | states=37090
[Ep   2500/6000] raw_rew=0.97 | eps=0.250 | success=1.00 | states=40125
[Ep   3000/6000] raw_rew=0.96 | eps=0.250 | success=1.00 | states=40592
[Ep   3500/6000] raw_rew=0.98 | eps=0.250 | success=1.00 | states=40938
[Ep   4000/6000] raw_rew=0.97 | eps=0.125 | success=1.00 | states=41076
[Ep   4500/6000] raw_rew=0.97 | eps=0.125 | success=1.00 | states=41207
[Ep   5000/6000] raw_rew=0.97 | eps=0.062 | success=1.00 | states=41270
[Ep   5500/6000] raw_rew=0.95 | eps=0.062 | success=1.00 | states=41288
[Ep   5999/6000] raw_rew=0.98 | eps=0.062 | success=1.00 | states=41331
