[Ep      0/9000] raw_rew=0.00 | eps=1.000 | success=0.00 | states=15
[Ep    500/9000] raw_rew=0.00 | eps=1.000 | success=0.04 | states=17716
[Ep   1000/9000] raw_rew=0.00 | eps=1.000 | success=0.03 | states=23773
[Ep   1500/9000] raw_rew=0.00 | eps=1.000 | success=0.02 | states=26381
[Ep   2000/9000] raw_rew=0.00 | eps=0.700 | success=0.15 | states=33378
[Ep   2500/9000] raw_rew=0.00 | eps=0.700 | success=0.23 | states=43412
[Ep   3000/9000] raw_rew=0.00 | eps=0.700 | success=0.17 | states=50296
[Ep   3500/9000] raw_rew=0.63 | eps=0.700 | success=0.21 | states=55875
[Ep   4000/9000] raw_rew=0.00 | eps=0.490 | success=0.36 | states=62718
[Ep   4500/9000] raw_rew=0.00 | eps=0.490 | success=0.26 | states=68776
[Ep   5000/9000] raw_rew=0.00 | eps=0.490 | success=0.28 | states=73480
[Ep   5500/9000] raw_rew=0.00 | eps=0.343 | success=0.45 | states=76669
[Ep   6000/9000] raw_rew=0.42 | eps=0.343 | success=0.34 | states=79952
[Ep   6500/9000] raw_rew=0.32 | eps=0.343 | success=0.31 | states=83025
[Ep   7000/9000] raw_rew=0.00 | eps=0.343 | success=0.37 | states=85233
[Ep   7500/9000] raw_rew=0.00 | eps=0.240 | success=0.26 | states=87478
[Ep   8000/9000] raw_rew=0.00 | eps=0.240 | success=0.30 | states=89135
[Ep   8500/9000] raw_rew=0.00 | eps=0.240 | success=0.23 | states=90470
[Ep   8999/9000] raw_rew=0.00 | eps=0.240 | success=0.35 | states=91912
