[Ep      0/9000] raw_rew=0.00 | eps=1.000 | success=0.00 | states=36
[Ep    500/9000] raw_rew=0.00 | eps=1.000 | success=0.04 | states=18333
[Ep   1000/9000] raw_rew=0.00 | eps=1.000 | success=0.01 | states=24540
[Ep   1500/9000] raw_rew=0.00 | eps=1.000 | success=0.02 | states=28148
[Ep   2000/9000] raw_rew=0.00 | eps=1.000 | success=0.02 | states=30643
[Ep   2500/9000] raw_rew=0.00 | eps=1.000 | success=0.03 | states=32169
[Ep   3000/9000] raw_rew=0.28 | eps=0.300 | success=0.04 | states=34197
[Ep   3500/9000] raw_rew=0.96 | eps=0.300 | success=0.53 | states=49343
[Ep   4000/9000] raw_rew=0.77 | eps=0.300 | success=0.57 | states=57845
[Ep   4500/9000] raw_rew=0.56 | eps=0.300 | success=0.54 | states=64030
[Ep   5000/9000] raw_rew=0.00 | eps=0.300 | success=0.61 | states=68576
[Ep   5500/9000] raw_rew=0.00 | eps=0.300 | success=0.64 | states=72305
[Ep   6000/9000] raw_rew=0.89 | eps=0.090 | success=0.60 | states=74847
[Ep   6500/9000] raw_rew=0.00 | eps=0.090 | success=0.70 | states=77346
[Ep   7000/9000] raw_rew=0.83 | eps=0.090 | success=0.73 | states=79731
[Ep   7500/9000] raw_rew=0.69 | eps=0.090 | success=0.75 | states=81758
[Ep   8000/9000] raw_rew=0.00 | eps=0.090 | success=0.80 | states=83406
[Ep   8500/9000] raw_rew=0.80 | eps=0.090 | success=0.80 | states=84566
[Ep   8999/9000] raw_rew=0.77 | eps=0.090 | success=0.88 | states=85766
