[Ep      0/9000] raw_rew=0.00 | eps=1.000 | success=0.00 | states=84
[Ep    500/9000] raw_rew=0.00 | eps=1.000 | success=0.01 | states=17436
[Ep   1000/9000] raw_rew=0.00 | eps=1.000 | success=0.02 | states=24057
[Ep   1500/9000] raw_rew=0.00 | eps=0.700 | success=0.35 | states=37471
[Ep   2000/9000] raw_rew=0.00 | eps=0.700 | success=0.33 | states=47723
[Ep   2500/9000] raw_rew=0.11 | eps=0.490 | success=0.58 | states=55429
[Ep   3000/9000] raw_rew=0.00 | eps=0.490 | success=0.47 | states=60772
[Ep   3500/9000] raw_rew=0.90 | eps=0.343 | success=0.63 | states=65179
[Ep   4000/9000] raw_rew=0.86 | eps=0.343 | success=0.59 | states=68116
[Ep   4500/9000] raw_rew=0.80 | eps=0.240 | success=0.59 | states=70399
[Ep   5000/9000] raw_rew=0.00 | eps=0.240 | success=0.68 | states=72734
[Ep   5500/9000] raw_rew=0.00 | eps=0.240 | success=0.75 | states=73809
[Ep   6000/9000] raw_rew=0.98 | eps=0.168 | success=0.75 | states=74930
[Ep   6500/9000] raw_rew=0.92 | eps=0.168 | success=0.81 | states=75707
[Ep   7000/9000] raw_rew=0.86 | eps=0.118 | success=0.79 | states=76341
[Ep   7500/9000] raw_rew=0.80 | eps=0.118 | success=0.77 | states=76999
[Ep   8000/9000] raw_rew=0.27 | eps=0.082 | success=0.88 | states=77769
[Ep   8500/9000] raw_rew=0.92 | eps=0.082 | success=0.84 | states=78434
[Ep   8999/9000] raw_rew=0.93 | eps=0.082 | success=0.93 | states=78718
