[Ep      0/12000] raw_rew=0.00 | eps=1.000 | success=0.00 | states=51
[Ep    500/12000] raw_rew=0.00 | eps=1.000 | success=0.01 | states=18144
[Ep   1000/12000] raw_rew=0.00 | eps=1.000 | success=0.04 | states=24541
[Ep   1500/12000] raw_rew=0.00 | eps=1.000 | success=0.01 | states=27761
[Ep   2000/12000] raw_rew=0.00 | eps=1.000 | success=0.00 | states=29904
[Ep   2500/12000] raw_rew=0.00 | eps=1.000 | success=0.01 | states=32151
[Ep   3000/12000] raw_rew=0.00 | eps=0.700 | success=0.02 | states=33555
[Ep   3500/12000] raw_rew=0.67 | eps=0.700 | success=0.30 | states=44318
[Ep   4000/12000] raw_rew=0.00 | eps=0.700 | success=0.40 | states=52243
[Ep   4500/12000] raw_rew=0.59 | eps=0.700 | success=0.39 | states=58006
[Ep   5000/12000] raw_rew=0.00 | eps=0.700 | success=0.34 | states=62495
[Ep   5500/12000] raw_rew=0.00 | eps=0.700 | success=0.35 | states=66945
[Ep   6000/12000] raw_rew=0.11 | eps=0.490 | success=0.40 | states=70926
[Ep   6500/12000] raw_rew=0.00 | eps=0.490 | success=0.56 | states=76128
[Ep   7000/12000] raw_rew=0.00 | eps=0.490 | success=0.52 | states=79803
[Ep   7500/12000] raw_rew=0.80 | eps=0.490 | success=0.54 | states=82993
[Ep   8000/12000] raw_rew=0.00 | eps=0.490 | success=0.68 | states=86046
[Ep   8500/12000] raw_rew=0.77 | eps=0.490 | success=0.57 | states=88664
[Ep   9000/12000] raw_rew=0.74 | eps=0.343 | success=0.62 | states=90376
[Ep   9500/12000] raw_rew=0.00 | eps=0.343 | success=0.70 | states=92838
[Ep  10000/12000] raw_rew=0.56 | eps=0.343 | success=0.72 | states=94563
[Ep  10500/12000] raw_rew=0.00 | eps=0.343 | success=0.72 | states=96294
[Ep  11000/12000] raw_rew=0.75 | eps=0.343 | success=0.75 | states=97937
[Ep  11500/12000] raw_rew=0.00 | eps=0.343 | success=0.75 | states=99607
[Ep  11999/12000] raw_rew=0.91 | eps=0.343 | success=0.79 | states=100751
