[Ep      0/12000] raw_rew=0.00 | eps=1.000 | success=0.00 | states=32
[Ep    500/12000] raw_rew=0.00 | eps=1.000 | success=0.01 | states=18355
[Ep   1000/12000] raw_rew=0.00 | eps=1.000 | success=0.02 | states=24599
[Ep   1500/12000] raw_rew=0.00 | eps=1.000 | success=0.01 | states=28465
[Ep   2000/12000] raw_rew=0.00 | eps=1.000 | success=0.02 | states=30871
[Ep   2500/12000] raw_rew=0.00 | eps=1.000 | success=0.01 | states=32651
[Ep   3000/12000] raw_rew=0.00 | eps=1.000 | success=0.01 | states=34283
[Ep   3500/12000] raw_rew=0.00 | eps=1.000 | success=0.03 | states=35982
[Ep   4000/12000] raw_rew=0.64 | eps=0.300 | success=0.02 | states=37359
[Ep   4500/12000] raw_rew=0.80 | eps=0.300 | success=0.27 | states=46761
[Ep   5000/12000] raw_rew=0.67 | eps=0.300 | success=0.44 | states=54924
[Ep   5500/12000] raw_rew=0.00 | eps=0.300 | success=0.36 | states=63066
[Ep   6000/12000] raw_rew=0.00 | eps=0.300 | success=0.39 | states=68715
[Ep   6500/12000] raw_rew=0.00 | eps=0.300 | success=0.42 | states=73654
[Ep   7000/12000] raw_rew=0.00 | eps=0.300 | success=0.47 | states=77497
[Ep   7500/12000] raw_rew=0.37 | eps=0.300 | success=0.48 | states=81471
[Ep   8000/12000] raw_rew=0.00 | eps=0.090 | success=0.55 | states=84479
[Ep   8500/12000] raw_rew=0.00 | eps=0.090 | success=0.49 | states=87511
[Ep   9000/12000] raw_rew=0.69 | eps=0.090 | success=0.64 | states=89849
[Ep   9500/12000] raw_rew=0.00 | eps=0.090 | success=0.61 | states=92590
[Ep  10000/12000] raw_rew=0.00 | eps=0.090 | success=0.69 | states=94610
[Ep  10500/12000] raw_rew=0.65 | eps=0.090 | success=0.64 | states=96116
[Ep  11000/12000] raw_rew=0.82 | eps=0.090 | success=0.67 | states=98190
[Ep  11500/12000] raw_rew=0.00 | eps=0.090 | success=0.70 | states=99878
[Ep  11999/12000] raw_rew=0.40 | eps=0.090 | success=0.75 | states=101685
