[Ep      0/12000] raw_rew=0.00 | eps=1.000 | success=0.00 | states=16
[Ep    500/12000] raw_rew=0.00 | eps=1.000 | success=0.01 | states=17994
[Ep   1000/12000] raw_rew=0.00 | eps=1.000 | success=0.03 | states=24084
[Ep   1500/12000] raw_rew=0.40 | eps=0.300 | success=0.05 | states=27558
[Ep   2000/12000] raw_rew=0.81 | eps=0.300 | success=0.99 | states=36217
[Ep   2500/12000] raw_rew=0.81 | eps=0.300 | success=1.00 | states=40585
[Ep   3000/12000] raw_rew=0.96 | eps=0.090 | success=1.00 | states=43570
[Ep   3500/12000] raw_rew=0.98 | eps=0.090 | success=1.00 | states=44225
[Ep   4000/12000] raw_rew=0.97 | eps=0.090 | success=1.00 | states=44833
[Ep   4500/12000] raw_rew=0.91 | eps=0.027 | success=1.00 | states=45589
[Ep   5000/12000] raw_rew=0.95 | eps=0.027 | success=1.00 | states=45835
[Ep   5500/12000] raw_rew=0.88 | eps=0.027 | success=1.00 | states=45985
[Ep   6000/12000] raw_rew=0.98 | eps=0.010 | success=1.00 | states=46124
[Ep   6500/12000] raw_rew=0.98 | eps=0.010 | success=1.00 | states=46143
[Ep   7000/12000] raw_rew=0.97 | eps=0.010 | success=1.00 | states=46242
[Ep   7500/12000] raw_rew=0.95 | eps=0.010 | success=1.00 | states=46374
[Ep   8000/12000] raw_rew=0.96 | eps=0.010 | success=1.00 | states=46386
[Ep   8500/12000] raw_rew=0.96 | eps=0.010 | success=1.00 | states=46387
[Ep   9000/12000] raw_rew=0.95 | eps=0.010 | success=1.00 | states=46413
[Ep   9500/12000] raw_rew=0.91 | eps=0.010 | success=1.00 | states=46503
[Ep  10000/12000] raw_rew=0.95 | eps=0.010 | success=1.00 | states=46572
[Ep  10500/12000] raw_rew=0.97 | eps=0.010 | success=1.00 | states=46581
[Ep  11000/12000] raw_rew=0.95 | eps=0.010 | success=1.00 | states=46623
[Ep  11500/12000] raw_rew=0.91 | eps=0.010 | success=1.00 | states=46625
[Ep  11999/12000] raw_rew=0.98 | eps=0.010 | success=1.00 | states=46666
