[Ep      0/12000] raw_rew=0.00 | eps=1.000 | success=0.00 | states=36
[Ep    500/12000] raw_rew=0.00 | eps=1.000 | success=0.02 | states=17885
[Ep   1000/12000] raw_rew=0.00 | eps=1.000 | success=0.06 | states=24305
[Ep   1500/12000] raw_rew=0.00 | eps=0.500 | success=0.03 | states=27539
[Ep   2000/12000] raw_rew=0.54 | eps=0.500 | success=1.00 | states=37172
[Ep   2500/12000] raw_rew=0.95 | eps=0.500 | success=0.99 | states=40445
[Ep   3000/12000] raw_rew=0.97 | eps=0.250 | success=1.00 | states=43047
[Ep   3500/12000] raw_rew=0.97 | eps=0.250 | success=1.00 | states=43478
[Ep   4000/12000] raw_rew=0.97 | eps=0.250 | success=1.00 | states=43645
[Ep   4500/12000] raw_rew=0.97 | eps=0.125 | success=0.99 | states=43883
[Ep   5000/12000] raw_rew=0.97 | eps=0.125 | success=1.00 | states=43966
[Ep   5500/12000] raw_rew=0.94 | eps=0.125 | success=1.00 | states=43994
[Ep   6000/12000] raw_rew=0.98 | eps=0.062 | success=1.00 | states=44026
[Ep   6500/12000] raw_rew=0.98 | eps=0.062 | success=1.00 | states=44040
[Ep   7000/12000] raw_rew=0.97 | eps=0.062 | success=1.00 | states=44049
[Ep   7500/12000] raw_rew=0.96 | eps=0.050 | success=1.00 | states=44055
[Ep   8000/12000] raw_rew=0.97 | eps=0.050 | success=1.00 | states=44059
[Ep   8500/12000] raw_rew=0.97 | eps=0.050 | success=1.00 | states=44059
[Ep   9000/12000] raw_rew=0.96 | eps=0.050 | success=1.00 | states=44062
[Ep   9500/12000] raw_rew=0.93 | eps=0.050 | success=1.00 | states=44063
[Ep  10000/12000] raw_rew=0.95 | eps=0.050 | success=1.00 | states=44068
[Ep  10500/12000] raw_rew=0.98 | eps=0.050 | success=1.00 | states=44085
[Ep  11000/12000] raw_rew=0.98 | eps=0.050 | success=1.00 | states=44086
[Ep  11500/12000] raw_rew=0.97 | eps=0.050 | success=1.00 | states=44087
[Ep  11999/12000] raw_rew=0.98 | eps=0.050 | success=1.00 | states=44088
