[Ep      0/5000] raw_rew=0.00 | eps=1.000 | success=0.00 | states=82
[Ep    500/5000] raw_rew=0.00 | eps=1.000 | success=0.02 | states=17938
[Ep   1000/5000] raw_rew=0.00 | eps=1.000 | success=0.03 | states=24269
[Ep   1500/5000] raw_rew=0.00 | eps=1.000 | success=0.00 | states=27498
[Ep   2000/5000] raw_rew=0.83 | eps=0.700 | success=0.55 | states=40365
[Ep   2500/5000] raw_rew=0.00 | eps=0.700 | success=0.70 | states=53562
[Ep   3000/5000] raw_rew=0.21 | eps=0.700 | success=0.64 | states=62034
[Ep   3500/5000] raw_rew=0.95 | eps=0.490 | success=0.95 | states=67473
[Ep   4000/5000] raw_rew=0.77 | eps=0.490 | success=0.95 | states=72004
[Ep   4500/5000] raw_rew=0.00 | eps=0.490 | success=0.92 | states=75742
[Ep   4999/5000] raw_rew=0.91 | eps=0.343 | success=0.89 | states=79622
