[Ep      0/5000] raw_rew=0.00 | eps=1.000 | success=0.00 | states=60
[Ep    500/5000] raw_rew=0.00 | eps=1.000 | success=0.04 | states=18418
[Ep   1000/5000] raw_rew=0.00 | eps=1.000 | success=0.00 | states=24264
[Ep   1500/5000] raw_rew=0.00 | eps=1.000 | success=0.04 | states=27670
[Ep   2000/5000] raw_rew=0.79 | eps=0.500 | success=0.96 | states=37053
[Ep   2500/5000] raw_rew=0.60 | eps=0.500 | success=0.97 | states=44975
[Ep   3000/5000] raw_rew=0.86 | eps=0.500 | success=0.99 | states=48826
[Ep   3500/5000] raw_rew=0.97 | eps=0.050 | success=1.00 | states=50638
[Ep   4000/5000] raw_rew=0.97 | eps=0.050 | success=1.00 | states=50880
[Ep   4500/5000] raw_rew=0.92 | eps=0.050 | success=1.00 | states=51121
[Ep   4999/5000] raw_rew=0.97 | eps=0.125 | success=1.00 | states=51197
